Depth (m)	NH4	Age
Midpoint	(ppb)	(yrs BP)

414.975	4.91	1812.9
415.525	4.86	1815.7
416.075	4.7	1818.4
416.625	3.41	1821.3
417.175	3.03	1824.1
417.725	5.6	1826.9
418.275	8.25	1829.7
418.825	11.36	1832.5
419.375	8.63	1835.3
419.925	7.79	1838.1
420.475	11.1	1841.0
421.025	5.61	1844.0
421.575	4.53	1846.9
422.125	11.91	1849.6
422.675	3.59	1852.5
423.225	6.95	1855.3
423.775	5.57	1858.1
424.325	8.26	1860.9
424.875	17.56	1863.6
425.425	6.43	1866.4
425.975	5.44	1869.3
426.525	7.05	1872.1
427.075	7.44	1874.9
427.625	3.93	1877.7
428.175	6.86	1880.5
428.725	6.5	1883.3
429.275	6.8	1886.0
429.825	6.72	1888.8
430.375	16.01	1891.5
430.925	8.88	1894.3
431.475	10.28	1897.1
432.025	4.7	1899.9
432.575	13.58	1902.5
433.125	3.54	1905.2
433.675	4.41	1908.0
434.225	6.9	1910.7
434.775	5.35	1913.4
435.325	3.68	1916.3
435.875	20.64	1919.2
436.425	4.37	1922.2
436.975	4.32	1924.9
437.525	7.6	1927.6
438.075	4.47	1930.3
438.625	5.35	1932.9
439.175	6.39	1935.6
439.725	5.63	1938.5
440.275	6.42	1941.5
440.825	4.12	1944.5
441.375	7.98	1947.3
441.925	28.31	1950.1
442.475	5.86	1953.0
443.025	9.56	1955.9
443.575	10.44	1958.7
444.125	7.61	1961.7
444.675	9.81	1964.6
445.225	5.06	1967.5
445.775	7.7	1970.4
446.325	9.78	1973.4
446.875	9.59	1976.3
447.425	26.54	1979.1
447.975	12.24	1981.8
448.525	7.13	1984.6
449.075	6.23	1987.5
449.625	6.23	1990.3
450.175	4.87	1993.2
450.725	4.56	1996.1
451.275	8.45	1998.9
451.825	4.62	2001.6
452.375	18.49	2004.4
452.925	8.61	2007.1
453.475	7.09	2009.8
454.025	3.89	2012.7
454.575	2.77	2015.6
455.125	4.93	2018.5
455.675	11.07	2021.7
456.225	5.68	2025.0
456.775	5.54	2028.0
457.325	5	2031.1
457.875	4.96	2034.0
458.425	6.88	2036.7
458.975	4.12	2039.6
459.525	12.68	2042.8
460.075	4.12	2046.0
460.625	3.4	2049.1
461.175	5.1	2052.0
461.725	4.49	2054.8
462.275	3	2057.5
462.825	13.54	2060.3
463.375	12.6	2063.3
463.925	4.25	2066.2
464.475	26.08	2069.2
465.025	5.48	2072.1
465.575	3.65	2075.0
466.125	4.28	2077.8
466.675	9.41	2080.6
467.225	6.01	2083.3
467.775	9.36	2086.1
468.325	16.32	2089.0
468.875	9.59	2092.1
469.425	6.5	2095.2
469.975	53.2	2098.3
470.525	38.53	2101.2
471.075	6.68	2104.1
471.625	8.82	2107.1
472.175	18.69	2110.0
472.725	5.19	2112.9
473.275	16.91	2115.8
473.825	7.44	2118.7
474.375	4.51	2121.5
474.925	2.74	2124.4
475.475	5.04	2127.4
476.025	5.75	2130.3
476.575	9.5	2133.2
477.125	30.7	2136.1
477.675	9.42	2139.0
478.225	10.25	2141.8
478.775	7.22	2144.7
479.325	4	2147.5
479.875	4.36	2150.4
480.425	9.76	2153.4
480.975	8.69	2156.4
481.525	4.07	2159.3
482.075	14.61	2162.3
482.625	3.23	2165.5
483.175	5.46	2168.5
483.725	15.22	2171.4
484.275	15.14	2174.3
484.825	3.62	2177.3
485.375	11.89	2180.5
485.925	4.42	2183.6
486.475	7.33	2186.7
487.025	5.69	2189.7
487.575	4.88	2192.7
488.125	10.46	2195.5
488.675	3.63	2198.4
489.225	4.43	2201.2
489.775	4.3	2204.0
490.325	3.79	2206.9
490.875	7.52	2210.0
491.425	7.9	2213.1
491.975	13.01	2215.8
492.525	9.71	2218.5
493.075	4.36	2221.2
493.625	5.52	2224.1
494.175	13.56	2227.1
494.725	2.6	2230.1
495.275	7.29	2233.0
495.825	5.47	2235.8
496.375	37.48	2238.7
496.925	7.44	2241.6
497.475	16.67	2244.5
498.025	7.81	2247.2
498.575	9.82	2250.1
499.125	4.49	2253.0
499.675	13.8	2255.9
500.225	5.71	2258.8
500.775	3.62	2261.7
501.325	16.26	2264.5
501.875	17.28	2267.4
502.425	4	2270.3
502.975	10.34	2273.3
503.525	6.42	2276.3
504.075	6.26	2279.4
504.625	9.42	2282.5
505.175	5.49	2285.3
505.725	3.03	2288.2
506.275	9.06	2291.3
506.825	7.43	2294.3
507.375	3.44	2297.3
507.925	5.11	2300.3
508.475	5.33	2303.5
509.025	4.72	2306.6
509.575	7.1	2309.7
510.125	8.32	2312.8
510.675	6.17	2315.8
511.225	6.93	2318.6
511.775	6.98	2321.4
512.325	14.46	2324.2
512.875	7.16	2327.2
513.425	4.39	2330.2
513.975	5.31	2333.1
514.525	2.37	2336.1
515.075	3.99	2339.3
515.625	5.46	2342.3
516.175	7.25	2345.2
516.725	3.69	2348.1
