Depth (m)	Ca	Age
Midpoint	(ppb)	(yr B.P.)

1612.325	16.00	11386.0
1612.875	16.00	11395.5
1613.425	12.00	11404.5
1613.975	11.60	11413.0
1614.525	11.20	11421.0
1615.075	8.80	11429.0
1615.625	7.60	11437.0
1616.175	9.60	11445.5
1616.725	10.00	11454.0
1617.275	9.20	11462.5
1617.825	9.60	11471.5
1618.375	10.00	11480.0
1618.925	11.20	11488.5
1619.475	9.20	11497.5
1620.025	10.80	11506.0
1620.575	9.20	11515.5
1621.125	10.80	11524.5
1621.675	14.00	11532.5
1622.225	12.00	11542.0
1622.775	16.80	11552.0
1623.325	26.40	11562.5
1623.875	37.20	11573.5
1624.425	82.80	11587.5
1624.975	84.40	11604.0
1625.525	81.60	11618.0
1626.075	71.20	11630.0
1626.625	92.80	11643.0
1627.175	88.40	11658.0
1627.725	78.80	11677.0
1628.275	75.60	11693.5
1628.825	100.80	11706.5
1629.375	137.20	11724.0
1629.925	96.80	11740.0
1630.475	118.80	11754.5
1631.025	97.20	11773.0
1631.575	109.60	11791.0
1632.125	96.40	11805.5
1632.675	101.60	11820.0
1633.225	115.20	11834.5
1633.775	97.20	11847.5
1634.325	117.60	11862.5
1634.875	76.00	11878.5
1635.425	78.80	11893.5
1635.975	94.00	11908.0
1636.525	112.80	11922.0
1637.075	88.80	11936.0
1637.625	138.00	11950.0
1638.175	108.80	11965.0
1638.725	97.60	11982.0
1639.275	152.00	11998.0
1639.825	130.40	12013.5
1640.375	140.40	12029.0
1640.925	139.20	12044.0
1641.475	132.40	12062.0
1642.025	102.80	12077.0
1642.575	150.80	12091.5
1643.125	150.80	12109.5
1643.675	164.40	12126.5
1644.225	172.80	12141.5
1644.775	160.00	12158.0
1645.325	171.20	12175.5
1645.875	100.00	12192.0
1646.425	135.60	12210.0
1646.975	124.00	12225.0
1647.525	126.80	12238.5
1648.075	144.00	12255.0
1648.625	154.00	12272.5
1649.175	154.00	12287.5
1649.725	173.60	12302.5
1650.275	218.00	12318.5
1650.825	186.40	12334.0
1651.375	223.20	12352.0
1651.925	158.00	12372.0
1652.475	178.00	12391.0
1653.025	304.40	12410.5
1653.575	233.60	12428.0
1654.125	168.40	12445.5
1654.675	251.20	12466.0
1655.225	232.80	12484.5
1655.775	163.20	12502.5
1656.325	188.80	12523.0
1656.875	228.00	12545.5
1657.425	144.00	12568.5
1657.975	116.40	12589.0
1658.525	110.80	12605.5
1659.075	70.80	12622.5
1659.625	54.40	12638.5
1660.175	57.20	12651.5
1660.725	48.80	12665.0
1661.275	42.00	12677.5
1661.825	38.40	12689.5
1662.375	24.80	12702.5
1662.925	23.60	12713.5
1663.475	36.40	12724.0
1664.025	15.60	12735.0
1664.575	21.20	12746.0
1665.125	25.20	12758.0
1665.675	18.80	12769.0
1666.225	17.20	12779.0
1666.775	22.00	12789.5
1667.325	27.60	12801.0
1667.875	34.00	12813.0
1668.425	53.60	12826.0
1668.975	33.60	12838.0
1669.525	30.80	12848.5
1670.075	31.60	12861.0
1670.625	32.80	12873.5
1671.175	37.60	12886.0
1671.725	43.60	12899.5
1672.275	49.60	12913.0
1672.825	44.80	12927.5
1673.375	58.80	12943.5
1673.925	66.00	12959.0
1674.475	54.80	12972.0
1675.025	52.40	12987.0
1675.575	52.80	13003.0
1676.125	62.40	13018.0
1676.675	58.80	13032.5
1677.225	48.80	13045.5
1677.775	38.00	13058.5
1678.325	38.00	13072.0
1678.875	30.80	13085.5
1679.425	34.40	13097.5
1679.975	30.80	13109.0
1680.525	28.80	13122.5
1681.075	22.40	13136.0
1681.625	27.20	13147.5
1682.175	29.20	13158.0
1682.725	29.60	13168.0
1683.275	32.80	13179.0
1683.825	24.80	13190.5
1684.375	23.60	13201.0
1684.925	23.20	13211.5
1685.475	19.20	13222.5
1686.025	28.00	13234.0
1686.575	22.40	13244.5
1687.125	22.40	13254.5
1687.675	23.20	13265.0
1688.225	28.80	13276.0
1688.775	23.60	13287.0
1689.325	24.40	13298.0
1689.875	42.80	13309.0
1690.425	40.40	13319.0
1690.975	28.40	13328.5
1691.525	22.80	13337.0
1692.075	23.20	13346.5
1692.625	33.20	13357.0
1693.175	27.60	13367.0
1693.725	24.80	13377.5
1694.275	28.40	13388.0
1694.825	38.80	13398.0
1695.375	36.00	13409.5
1695.925	59.20	13422.5
1696.475	55.60	13435.5
1697.025	44.00	13447.5
1697.575	40.80	13458.0
1698.125	25.60	13468.5
1698.675	29.60	13479.5
1699.225	24.40	13490.0
1699.775	19.60	13500.0
1700.325	20.80	13510.5
1700.875	25.60	13521.0
1701.425	25.60	13531.5
1701.975	24.40	13541.5
1702.525	32.80	13551.0
1703.075	28.40	13561.5
1703.625	24.00	13572.0
1704.175	29.60	13582.5
1704.725	31.60	13593.0
1705.275	28.40	13604.0
1705.825	28.80	13615.5
1706.375	24.40	13626.0
1706.925	31.60	13636.5
1707.475	33.20	13647.5
1708.025	23.20	13659.0
1708.575	38.40	13669.5
1709.125	30.00	13679.0
1709.675	26.00	13690.0
1710.225	32.80	13701.5
1710.775	40.00	13712.0
1711.325	28.40	13722.0
1711.875	22.40	13732.0
1712.425	23.20	13742.0
1712.975	29.20	13752.0
1713.525	41.20	13762.5
1714.075	34.00	13774.0
1714.625	38.80	13785.0
1715.175	43.20	13797.0
1715.725	45.60	13810.5
1716.275	84.80	13825.5
1716.825	65.20	13840.5
1717.375	55.20	13854.0
1717.925	57.60	13868.0
1718.475	24.00	13881.5
1719.025	24.40	13892.5
1719.575	21.20	13902.5
1720.125	29.20	13913.0
1720.675	24.80	13923.0
1721.225	30.40	13933.0
1721.775	30.80	13944.5
1722.325	28.80	13955.5
1722.875	31.20	13966.0
1723.425	41.60	13977.5
1723.975	21.60	13988.0
1724.525	24.40	13998.5
1725.075	28.00	14008.5
1725.625	22.80	14018.0
1726.175	15.20	14029.0
1726.725	21.20	14040.0
1727.275	22.40	14049.5
1727.825	26.00	14059.0
1728.375	21.60	14068.5
1728.925	33.20	14078.0
1729.475	18.40	14087.5
1730.025	27.20	14097.0
1730.575	26.80	14106.0
1731.125	22.00	14115.0
1731.675	29.20	14124.0
1732.225	18.80	14132.5
