GRIP Formaldehyde Concentrations

REFERENCES: 

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Steffensen, J.P. 1997. The size distribution of microparticles from
selected segments of the Greenland Ice Core Project ice core representing
different climatic periods. Journal of Geophysical Research 102:26755-26763

Sigg, A., T. Staffelbach, and A. Neftel. 1992. Gas-phase measurements of
hydrogen peroxide in Greenland and their meaning for the interpretation of
H2O2 records in ice cores. Journal of Atmospheric Chemistry 14:223-232.

DATA DESCRIPTION: 

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm2 cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples are
given by the high spatial resolution (ca. 1cm for Hydrogen peroxide,
Ammonium and Formaldehyde; 3cm for Calcium) combined with a significant
reduction in sample handling. The spatial resolution is only limited by
the sample dispersion in the melting system and the analyser. The
detection limit for formaldehyde is 0.3 ppb.  Ages are years before
1950.00, as calculated from the glaciological timescale (file
gripage.dat). 

DATA:

Depth(m)	HCHO	Age
Mipoint	(ppb)	(years B.P.)

1656.875	1.54	12545.5
1657.425	1.12	12568.5
1657.975	1.04	12589.0
1658.525	0.8	12605.5
1659.075	0.4	12622.5
1659.625	0.37	12638.5
1660.175	0.4	12651.5
1660.725	0.63	12665.0
1661.275	0.51	12677.5
1661.825	0.65	12689.5
1662.375	0.6	12702.5
1662.925	0.55	12713.5
1663.475	1.39	12724.0
1664.025	0.74	12735.0
1664.575	0.72	12746.0
1665.125	0.76	12758.0
1665.675	0.96	12769.0
1666.225	0.74	12779.0
1666.775	0.66	12789.5
1667.325	0.59	12801.0
1667.875	0.37	12813.0
1668.425	0.91	12826.0
1668.975	0.68	12838.0
1669.525	0.66	12848.5
1670.075	0.59	12861.0
1670.625	0.38	12873.5
1671.175	0.43	12886.0
1671.725	0.52	12899.5
1672.275	0.52	12913.0
1672.825	0.78	12927.5
1673.375	0.61	12943.5
1673.925	0.5	12959.0
1674.475	0.58	12972.0
1675.025	0.31	12987.0
1675.575	0.58	13003.0
1676.125	0.47	13018.0
1676.675	0.37	13032.5
1677.225	0.43	13045.5
1677.775	0.23	13058.5
1678.325	0.64	13072.0
1678.875	1.08	13085.5
1679.425	1.05	13097.5
1679.975	0.64	13109.0
1680.525	0.5	13122.5
1681.075	0.29	13136.0
1681.625	0.45	13147.5
1682.175	0.65	13158.0
1682.725	0.57	13168.0
1683.275	0.41	13179.0
1683.825	0.28	13190.5
1684.375	0.36	13201.0
1684.925	0.22	13211.5
1685.475	0.4	13222.5
1686.025	0.48	13234.0
1686.575	0.72	13244.5
1687.125	0.55	13254.5
1687.675	0.93	13265.0
1688.225	0.43	13276.0
1688.775	0.34	13287.0
1689.325	0.52	13298.0
1689.875	0.58	13309.0
1690.425	0.86	13319.0
1690.975	0.75	13328.5
1691.525	999999	13337.0
1692.075	0.43	13346.5
1692.625	0.58	13357.0
1693.175	0.28	13367.0
1693.725	0.38	13377.5
1694.275	0.5	13388.0
1694.825	0.48	13398.0
1695.375	0.45	13409.5
1695.925	0.73	13422.5
1696.475	1.13	13435.5
1697.025	0.69	13447.5
1697.575	0.48	13458.0
1698.125	0.34	13468.5
1698.675	0.57	13479.5
1699.225	0.47	13490.0
1699.775	1.08	13500.0
1700.325	0.66	13510.5
1700.875	0.75	13521.0
1701.425	0.57	13531.5
1701.975	0.58	13541.5
1702.525	0.77	13551.0
1703.075	0.56	13561.5
1703.625	0.39	13572.0
1704.175	0.5	13582.5
1704.725	0.6	13593.0
1705.275	0.41	13604.0
1705.825	0.23	13615.5
1706.375	0.36	13626.0
1706.925	0.36	13636.5
1707.475	0.5	13647.5
1708.025	0.46	13659.0
1708.575	1.05	13669.5
1709.125	0.77	13679.0
1709.675	0.27	13690.0
1710.225	0.42	13701.5
1710.775	0.68	13712.0
1711.325	999999	13722.0
1711.875	0.32	13732.0
1712.425	0.38	13742.0
1712.975	0.74	13752.0
1713.525	0.85	13762.5
1714.075	0.64	13774.0
1714.625	0.93	13785.0
1715.175	0.87	13797.0
1715.725	0.83	13810.5
1716.275	1.28	13825.5
1716.825	0.57	13840.5
1717.375	0.67	13854.0
1717.925	0.8	13868.0
1718.475	0.5	13881.5
1719.025	0.63	13892.5
1719.575	0.57	13902.5
1720.125	0.72	13913.0
1720.675	0.59	13923.0
1721.225	0.86	13933.0
1721.775	0.95	13944.5
1722.325	0.78	13955.5
1722.875	0.67	13966.0
1723.425	0.8	13977.5
1723.975	0.5	13988.0
1724.525	0.36	13998.5
1725.075	0.39	14008.5
1725.625	0.44	14018.0
1726.175	0.78	14029.0
1726.725	0.58	14040.0
1727.275	0.52	14049.5
1727.825	0.62	14059.0
1728.375	0.39	14068.5
1728.925	0.62	14078.0
1729.475	0.39	14087.5
1730.025	0.75	14097.0
1730.575	0.63	14106.0
1731.125	0.44	14115.0
1731.675	0.44	14124.0
1732.225	0.31	14132.5
1732.775	0.59	14141.5
1733.325	0.86	14150.5
1733.875	0.41	14160.0
1734.425	0.79	14169.5
1734.975	0.52	14179.0
1735.525	0.34	14188.5
1736.075	0.56	14197.5
1736.625	0.41	14206.5
1737.175	0.68	14216.5
1737.725	0.3	14226.5
1738.275	0.8	14235.5
1738.825	0.4	14244.5
1739.375	0.5	14253.5
1739.925	0.9	14262.5
1740.475	0.82	14272.0
1741.025	0.57	14281.5
1741.575	0.62	14290.0
1742.125	0.58	14298.5
1742.675	0.37	14307.0
