NEEM bottom depth;Age at bottom of sample;Acc mean;Acc min;Acc max;2 sigma
(m);(years b2k);(m/year i.e.);(m/year i.e.);(m/year i.e.);(m/year i.e.)
1236.50;8320;0.2074;0.1867;0.2257;0.0400
1238.13;8340;0.2112;0.1916;0.2300;0.0394
1239.76;8360;0.2115;0.1931;0.2293;0.0373
1241.35;8380;0.2099;0.1961;0.2246;0.0303
1242.91;8400;0.2068;0.1981;0.2184;0.0215
1244.44;8420;0.2061;0.1970;0.2174;0.0217
1245.96;8440;0.2059;0.1964;0.2177;0.0226
1247.50;8460;0.2068;0.1967;0.2189;0.0238
1249.03;8480;0.2055;0.1958;0.2172;0.0231
1250.57;8500;0.2065;0.1963;0.2182;0.0234
1252.10;8520;0.2044;0.1957;0.2128;0.0178
1253.60;8540;0.2026;0.1927;0.2122;0.0203
1255.10;8560;0.2034;0.1932;0.2136;0.0210
1256.61;8580;0.2020;0.1927;0.2104;0.0183
1258.07;8600;0.2007;0.1891;0.2120;0.0232
1259.56;8620;0.2033;0.1902;0.2160;0.0260
1261.04;8640;0.2035;0.1899;0.2180;0.0287
1262.52;8660;0.2035;0.1895;0.2182;0.0293
1264.01;8680;0.2048;0.1918;0.2188;0.0277
1265.49;8700;0.2038;0.1909;0.2174;0.0274
1266.96;8720;0.2040;0.1908;0.2177;0.0279
1268.44;8740;0.2038;0.1929;0.2158;0.0239
1269.89;8760;0.2008;0.1923;0.2093;0.0180
1271.32;8780;0.1974;0.1883;0.2046;0.0173
1272.73;8800;0.1972;0.1877;0.2057;0.0193
1274.11;8820;0.1953;0.1850;0.2037;0.0201
1275.49;8840;0.1943;0.1838;0.2029;0.0203
1276.87;8860;0.1938;0.1848;0.2016;0.0179
1278.25;8880;0.1930;0.1844;0.1998;0.0166
1279.59;8900;0.1926;0.1811;0.2028;0.0227
1280.99;8920;0.1974;0.1849;0.2084;0.0245
1282.38;8940;0.1969;0.1837;0.2078;0.0249
1283.78;8960;0.1982;0.1857;0.2088;0.0237
1285.18;8980;0.1996;0.1863;0.2113;0.0254
1286.58;9000;0.1999;0.1865;0.2116;0.0256
1287.95;9020;0.1983;0.1834;0.2114;0.0284
1289.31;9040;0.1965;0.1828;0.2072;0.0251
1290.63;9060;0.1925;0.1811;0.2015;0.0210
1291.94;9080;0.1914;0.1800;0.1997;0.0207
1293.21;9100;0.1898;0.1761;0.1995;0.0248
1294.50;9120;0.1897;0.1782;0.1974;0.0205
1295.78;9140;0.1889;0.1761;0.1970;0.0226
1297.07;9160;0.1902;0.1784;0.1976;0.0207
1298.37;9180;0.1912;0.1809;0.1987;0.0192
1299.63;9200;0.1883;0.1759;0.1974;0.0231
1300.90;9220;0.1871;0.1757;0.1958;0.0213
1302.15;9240;0.1851;0.1753;0.1931;0.0187
1303.37;9260;0.1812;0.1697;0.1911;0.0223
1304.57;9280;0.1801;0.1689;0.1902;0.0219
1305.77;9300;0.1794;0.1680;0.1900;0.0227
1306.97;9320;0.1793;0.1678;0.1899;0.0228
1308.19;9340;0.1814;0.1727;0.1900;0.0178
1309.40;9360;0.1813;0.1704;0.1917;0.0219
1310.63;9380;0.1825;0.1722;0.1927;0.0212
1311.86;9400;0.1848;0.1741;0.1946;0.0214
1313.10;9420;0.1853;0.1751;0.1950;0.0206
1314.34;9440;0.1851;0.1754;0.1939;0.0193
1315.56;9460;0.1828;0.1729;0.1919;0.0199
1316.75;9480;0.1809;0.1679;0.1918;0.0252
1317.93;9500;0.1807;0.1691;0.1906;0.0228
1319.11;9520;0.1796;0.1679;0.1895;0.0228
1320.27;9540;0.1783;0.1659;0.1892;0.0244
1321.44;9560;0.1786;0.1666;0.1899;0.0246
1322.60;9580;0.1780;0.1662;0.1895;0.0246
1323.75;9600;0.1779;0.1653;0.1887;0.0247
1324.91;9620;0.1781;0.1674;0.1879;0.0214
1326.07;9640;0.1780;0.1660;0.1893;0.0241
1327.22;9660;0.1788;0.1664;0.1896;0.0240
1328.39;9680;0.1796;0.1694;0.1889;0.0203
1329.54;9700;0.1776;0.1667;0.1864;0.0204
1330.67;9720;0.1768;0.1651;0.1859;0.0216
1331.82;9740;0.1779;0.1669;0.1878;0.0218
1332.99;9760;0.1792;0.1688;0.1889;0.0209
1334.14;9780;0.1767;0.1665;0.1862;0.0204
1335.27;9800;0.1755;0.1638;0.1857;0.0231
1336.39;9820;0.1751;0.1635;0.1847;0.0224
1337.53;9840;0.1764;0.1649;0.1867;0.0228
1338.65;9860;0.1756;0.1641;0.1853;0.0225
1339.76;9880;0.1735;0.1618;0.1819;0.0214
1340.83;9900;0.1706;0.1579;0.1794;0.0231
1341.91;9920;0.1712;0.1603;0.1786;0.0198
1343.00;9940;0.1702;0.1612;0.1771;0.0170
1344.08;9960;0.1684;0.1595;0.1757;0.0173
1345.13;9980;0.1652;0.1569;0.1717;0.0159
