GISP2 Laser Light Scattering 1 meter and 1/2 meter averages

REFERENCES: 

Ram, M., and G. Koenig. 1997. Continuous dust concentration profile of pre
Holocene ice from the Greenland Ice Sheet Project 2 ice core: Dust
stadials, interstadials, and the Eemian. Journal of Geophysical Research
102:26641-26648.

Ram, M., M. Illing, P. Weber, G. Koenig, and M. Kaplan. 1995. Polar ice
stratigraphy from laser-light scattering: Scattering from ice. Geophysical
Research Letters 22:3525-3527.

Ram, M., and M. Illing. 1994. Polar ice stratigraphy from laser-light
scattering: scattering from meltwater. Journal of Glaciology 40:504-508.

DATA DESCRIPTION: 

These data are a compilation of the detailed solid ice laser light
scattering (LLS) files.  They are essentially 1 meter averages (every 500
data points of the LLS files averaged) above 2100 meters and 1/2 meter
averages below 2100 meters. There are several gaps in the data throughout
the record.  See the file lightinfo.txt for more information. 

DATA:

Depth	LLS	Age
Top (m)	relative intensity	(yr BP 1950)

2098.10	154.3	30504
2098.90	144.1	30552
2099.60	171.4	30595
2100.40	209.2	30645
2101.10	303.4	30689
2101.90	293.1	30739
2102.60	296.6	30786
2103.40	314.6	30839
2104.10	327.8	30883
2104.90	303.1	30935
2105.70	236.8	30988
2106.40	263.6	31035
2107.20	285.1	31088
2107.90	575.4	31134
2108.70	321.2	31184
2109.40	295.9	31229
2110.20	286.9	31280
2110.90	294.4	31325
2111.80	245.6	31382
2112.50	205.6	31427
2113.30	175.6	31478
2114.00	187.3	31521
2114.80	243.6	31569
2115.50	218.2	31612
2116.30	268.6	31663
2117.10	119.1	31714
2117.80	113.3	31756
2118.60	123.1	31804
2119.30	96.4	31846
2120.10	74.6	31894
2120.80	97.7	31932
2121.60	73.5	31979
2122.30	91.6	32020
2123.10	80.7	32067
2123.90	81.2	32117
2124.60	72.6	32159
2125.40	82.0	32208
2126.10	79.5	32251
2126.90	101.7	32302
2127.60	181.4	32346
2128.40	201.3	32398
2129.20	222.8	32452
2129.90	265.6	32499
2130.70	309.8	32552
2131.40	299.6	32598
2132.20	281.2	32652
2133.00	287.6	32707
2133.70	364.6	32756
2134.50	271.0	32811
2135.20	238.3	32859
2136.00	219.2	32913
2136.70	239.0	32961
2137.50	177.1	33013
2138.30	178.1	33065
2139.00	63.0	33113
2139.80	83.5	33168
2140.50	57.2	33217
2141.30	69.2	33271
2142.10	58.7	33326
2142.80	84.8	33373
2143.60	109.3	33428
2144.30	124.9	33475
2145.10	78.8	33527
2145.80	996.0	33574
2146.60	101.5	33627
2147.30	155.2	33673
2148.10	198.0	33728
2148.90	228.4	33784
2149.60	246.9	33830
2200.00	70.1	36591
2200.80	76.8	36640
2201.50	72.2	36681
2202.30	80.4	36727
2203.00	64.9	36769
2203.80	116.0	36811
2204.60	92.5	36853
2205.30	84.3	36890
2206.10	68.0	36932
2206.80	71.1	36970
2207.60	80.5	37013
2208.30	112.7	37051
2209.10	94.2	37094
2209.80	92.7	37132
2210.60	81.8	37172
2211.30	63.6	37209
2212.10	58.3	37253
2212.90	94.3	37298
2213.60	65.3	37337
2214.40	42.4	37381
2215.10	46.1	37420
2215.90	77.8	37464
2216.60	50.3	37499
2217.40	45.5	37541
2218.20	45.1	37585
2218.90	46.3	37624
2219.70	57.7	37668
2220.40	59.4	37707
2221.20	51.4	37754
2221.90	45.6	37798
2222.70	57.2	37848
2223.40	55.0	37892
2224.20	57.8	37943
2224.90	51.3	37987
2225.70	60.6	38041
2226.50	58.5	38097
2227.20	48.3	38146
2228.00	80.2	38201
2228.70	82.8	38249
2229.50	82.7	38295
2230.20	92.7	38331
2231.00	96.2	38375
2231.70	183.7	38415
2232.50	250.3	38466
2233.30	257.2	38519
2234.00	265.3	38565
2234.80	279.4	38624
2235.50	238.7	38675
2236.30	265.7	38736
2237.00	305.3	38793
2237.80	327.6	38855
2238.50	330.2	38912
2239.30	278.2	38974
2240.10	278.1	39034
2240.80	297.1	39088
2241.60	325.9	39151
2242.30	362.3	39207
2243.10	353.7	39272
2243.80	330.6	39330
2244.60	298.6	39397
2245.30	335.1	39456
2246.10	323.7	39521
2246.90	357.6	39584
2247.60	422.6	39644
2248.40	397.4	39715
2249.10	366.9	39779
2249.90	335.0	39844
2250.60	281.7	39901
2251.30	226.8	39955
2251.80	111.4	39991
2252.30	96.4	40025
2252.80	108.9	40056
2253.30	51.5	40088
2253.80	32.0	40121
2254.30	12.1	40152
2254.80	14.5	40182
2255.30	15.8	40211
2255.80	37.2	40239
2256.30	118.0	40271
2256.80	82.5	40305
2257.30	77.7	40335
2257.80	69.6	40361
2258.30	71.5	40386
2258.90	63.0	40417
2259.40	62.8	40440
2259.90	75.6	40463
2260.40	67.7	40489
2260.90	68.2	40515
2261.40	61.2	40537
2261.90	74.5	40558
2262.40	66.1	40580
2262.90	82.6	40602
2263.40	72.9	40623
2263.90	92.0	40645
2264.50	80.1	40669
2265.00	41.4	40688
2265.50	45.1	40713
2266.00	31.2	40737
2266.50	38.7	40759
2267.00	30.5	40781
2267.50	29.9	40802
2268.00	24.4	40823
2268.50	28.1	40844
2269.00	32.8	40865
2269.50	44.1	40891
2270.00	49.0	40916
2270.60	32.3	40945
2271.10	40.7	40969
2271.60	33.3	40991
2272.10	50.4	41013
2272.60	39.4	41031
2273.10	31.4	41051
2273.60	23.5	41073
2274.10	22.3	41095
2274.60	35.7	41116
2275.10	79.8	41136
2275.60	49.4	41156
2276.10	50.2	41177
2276.70	95.0	41208
2277.20	134.7	41233
2277.70	210.9	41259
2278.20	195.6	41284
2278.70	165.6	41310
2279.20	196.5	41336
2279.70	198.2	41364
2280.20	221.8	41391
2280.70	322.1	41417
2281.20	219.7	41446
2281.70	243.8	41478
2282.30	194.5	41511
2282.80	222.3	41535
2283.30	238.6	41560
2283.80	266.4	41586
2284.30	182.5	41611
2284.80	133.5	41635
2285.30	100.4	41660
2285.80	72.3	41685
2286.30	51.4	41710
2286.80	56.8	41735
2287.30	107.4	41762
2287.80	54.8	41791
2288.30	71.4	41819
2288.80	104.2	41846
2289.70	60.6	41893
2290.20	68.0	41919
2290.70	88.9	41947
2291.20	83.7	41974
2291.70	45.2	41999
2292.20	67.2	42024
2292.70	22.9	42048
2293.20	24.4	42073
2293.70	35.6	42099
2294.20	55.7	42124
2294.80	24.8	42149
2295.30	21.2	42173
2295.80	64.0	42198
2296.30	84.9	42223
2296.80	71.2	42248
2297.30	23.6	42273
2297.80	31.1	42299
2298.30	130.2	42322
2298.80	39.9	42343
2299.40	54.4	42368
2299.90	30.0	42389
2300.40	37.2	42412
2300.90	88.5	42436
2301.40	23.4	42459
2301.90	36.0	42482
2302.40	51.6	42505
2303.00	55.5	42534
2303.50	37.9	42558
2304.00	169.9	42581
2304.50	148.6	42615
2305.00	146.4	42648
2305.50	131.4	42681
2306.00	187.6	42713
2306.50	164.0	42745
2307.00	142.2	42776
2307.50	165.5	42808
2308.00	146.7	42839
2308.50	171.9	42872
2309.10	202.4	42911
2309.60	175.6	42942
2310.10	359.6	42973
2310.60	175.8	43005
2311.10	207.8	43036
2311.60	155.7	43063
2312.10	136.5	43091
2312.60	113.1	43119
2313.10	79.1	43148
2313.60	63.6	43179
2314.10	41.1	43208
2314.60	32.8	43235
2315.20	24.8	43267
2315.70	30.0	43291
2316.20	28.8	43315
2316.70	21.6	43341
2317.20	56.8	43367
2317.70	73.5	43396
2318.20	57.7	43426
2318.70	60.0	43458
2319.20	32.8	43488
2319.70	40.1	43516
2320.20	29.2	43544
2320.70	43.4	43575
2321.20	42.9	43604
2321.70	35.9	43632
2322.30	30.9	43667
2322.80	37.4	43698
2323.30	43.2	43728
2323.80	31.5	43758
2324.30	43.4	43787
2324.80	47.1	43814
2325.30	33.9	43844
2325.80	35.5	43875
2326.30	29.3	43904
2326.80	38.4	43933
2327.30	86.3	43962
2327.80	61.2	43991
2328.30	86.2	44019
2328.90	74.6	44050
2329.40	106.9	44077
2329.90	152.5	44105
2330.40	109.0	44132
2330.90	107.2	44159
2331.40	92.2	44182
2331.90	102.3	44205
2332.40	56.0	44228
2332.90	42.4	44251
2333.40	128.6	44273
2333.90	79.5	44295
2334.40	56.3	44317
2334.90	36.7	44340
2335.40	33.5	44364
2335.90	29.2	44388
2336.40	21.7	44411
2336.90	24.2	44434
2337.50	19.6	44466
2338.00	18.5	44492
2338.50	18.0	44517
2339.00	22.5	44542
2339.50	34.7	44563
2340.00	21.1	44583
2340.50	16.3	44606
2341.00	13.3	44629
2341.50	13.4	44653
2342.10	18.5	44680
2342.60	15.9	44701
2343.10	14.5	44721
2343.60	14.6	44743
2344.10	22.8	44765
2344.60	29.5	44787
2345.10	54.2	44810
2345.60	37.4	44832
2346.10	40.8	44855
2346.60	13.7	44877
2347.10	38.3	44900
2347.60	37.9	44923
2348.10	31.8	44946
2348.70	29.6	44973
2349.20	19.7	44995
2349.70	16.7	45016
2350.20	16.0	45037
2350.70	17.1	45058
2351.20	141.8	45078
2351.70	20.0	45096
2352.20	19.6	45116
2352.70	17.8	45138
2353.20	15.8	45160
2353.70	17.0	45183
2354.20	16.7	45205
2354.70	14.1	45226
2355.20	14.1	45248
2355.70	29.7	45270
2356.30	48.0	45295
2356.80	56.2	45314
2357.30	37.0	45333
2357.80	43.4	45352
2358.30	124.9	45373
2358.80	67.6	45394
2359.30	159.6	45420
2359.80	139.0	45450
2360.30	146.8	45479
2360.80	200.6	45508
2361.30	185.1	45540
2361.80	240.4	45572
2362.30	198.5	45606
2362.80	156.5	45641
2363.30	136.0	45675
2363.80	130.3	45708
2364.40	154.2	45747
2364.90	198.6	45780
2365.40	145.1	45816
2365.90	190.4	45852
2366.40	190.6	45891
2366.90	160.4	45931
2367.40	152.6	45973
2367.90	148.6	46016
2368.40	235.5	46060
2368.90	258.6	46106
2369.40	214.8	46147
2369.90	206.7	46186
2370.40	264.3	46226
2371.00	299.8	46274
2371.50	229.6	46319
2372.00	178.2	46363
2372.50	125.9	46404
2373.00	161.4	46444
2373.50	129.4	46488
2374.00	134.9	46531
2374.50	161.5	46566
2375.00	58.4	46600
2375.50	79.0	46632
2376.00	74.8	46664
2376.50	81.2	46693
2377.00	60.5	46721
2377.50	62.6	46755
2378.00	31.6	46788
2378.60	24.8	46828
2379.10	36.5	46860
2379.60	41.5	46888
2380.10	32.6	46917
2380.60	49.2	46944
2381.10	28.2	46972
2381.60	48.8	47002
2382.10	158.5	47032
2382.60	56.6	47062
2383.20	104.8	47098
2383.70	101.3	47128
2384.20	78.4	47155
2384.70	77.0	47178
2385.20	109.7	47203
2385.70	137.3	47229
2386.20	259.6	47257
2386.70	151.0	47288
2387.20	151.3	47324
2387.70	146.4	47366
2388.20	156.9	47406
2388.70	98.2	47444
2389.20	89.7	47479
2389.70	71.9	47510
2390.30	73.2	47547
2390.80	72.1	47576
2391.30	80.1	47606
2391.80	122.4	47637
2392.30	179.7	47666
2392.80	112.6	47693
2393.30	89.4	47723
2393.80	99.5	47754
2394.30	112.8	47786
2394.80	75.2	47817
2395.30	52.3	47849
2395.80	48.8	47880
2396.30	46.3	47911
2396.80	37.2	47942
2397.30	44.5	47974
2397.80	56.2	48008
2398.40	47.4	48046
2398.90	45.5	48077
2399.40	41.3	48110
2399.80	45.0	48137
2400.40	54.3	48176
2400.90	40.5	48207
2401.40	33.8	48239
2401.90	34.8	48272
2402.40	48.2	48303
2402.90	27.5	48333
2403.40	30.9	48363
2403.90	96.1	48394
2404.40	48.5	48424
2405.00	42.0	48461
2405.50	40.0	48497
2406.00	36.7	48532
2406.50	31.9	48566
2407.00	64.1	48600
2407.50	52.1	48636
2408.00	47.2	48671
2408.50	36.3	48701
2409.00	26.0	48731
2409.50	49.7	48763
2410.00	36.4	48795
2410.50	27.3	48829
2411.10	40.0	48869
2411.60	47.2	48901
2412.10	56.9	48932
2412.60	67.1	48963
2413.10	60.9	48995
2413.60	47.1	49029
2414.10	77.0	49064
2414.60	67.7	49100
2415.10	68.1	49135
2415.60	87.8	49166
2416.10	46.8	49197
2416.60	43.9	49229
2417.10	53.0	49262
2417.60	50.0	49294
2418.10	51.9	49326
2418.70	81.2	49362
2419.20	129.5	49390
2419.70	66.1	49416
2420.20	59.2	49442
2420.70	40.9	49468
2421.20	77.4	49495
2421.70	32.2	49524
2422.20	32.7	49552
2422.70	37.1	49580
2423.20	44.5	49608
2423.70	34.0	49636
2424.20	24.4	49663
2424.70	22.2	49691
2425.30	27.0	49726
2425.80	22.7	49756
2426.30	29.5	49787
2426.80	34.8	49818
2427.30	44.2	49846
2427.80	27.3	49873
2428.30	24.6	49902
2428.80	23.8	49931
2429.30	23.2	49961
2429.80	24.5	49990
2430.30	21.6	50021
2430.80	31.0	50052
2431.30	25.6	50137
2431.80	18.2	50258
2432.30	21.5	50331
2432.90	33.1	50380
2433.40	27.5	50421
2433.90	21.3	50461
2434.40	23.8	50502
2434.90	34.1	50543
2435.40	42.4	50583
2435.90	43.9	50624
2436.40	38.6	50665
2436.90	31.4	50705
2437.40	36.5	50746
2437.90	28.3	50787
2438.40	34.9	50827
2438.90	89.3	50868
2439.40	30.7	50909
2439.90	29.4	50949
2440.40	33.0	50990
2441.00	66.5	51039
2441.70	64.1	51096
2442.50	60.9	51161
2443.00	55.8	51201
2443.50	32.2	51242
2444.00	37.8	51283
2444.50	25.9	51323
2445.00	31.5	51364
2445.50	24.7	51405
2446.10	38.3	51453
2446.60	31.4	51494
2447.10	38.2	51535
2447.60	31.8	51575
2448.10	28.7	51616
2448.60	43.4	51657
2449.10	52.2	51697
2449.60	37.5	51738
2450.10	47.7	51779
2450.60	85.2	51819
2451.10	63.1	51860
2451.60	52.9	51900
2452.20	65.9	51953
2452.70	34.2	52004
2453.20	55.1	52054
2453.70	64.7	52104
2454.20	47.5	52155
2454.70	97.4	52205
2455.20	156.1	52256
2455.70	175.0	52306
2456.20	168.0	52356
2456.70	183.0	52407
2457.20	173.6	52457
2457.70	180.7	52508
2458.30	233.6	52568
2458.80	178.5	52618
2459.30	210.1	52669
2459.80	137.0	52719
2460.30	66.6	52770
2460.80	73.4	52820
2461.30	138.5	52870
2461.80	204.9	52921
2462.30	212.3	52983
2462.80	231.8	53052
2463.30	203.7	53122
2463.80	194.8	53191
2464.40	65.1	53275
2464.90	40.7	53344
2465.40	42.8	53414
2465.90	44.7	53483
2466.40	45.4	53553
2466.90	48.5	53622
2467.40	41.9	53692
2467.90	56.3	53761
2468.40	60.5	53831
2468.90	137.5	53900
2469.40	155.8	53970
2469.90	178.0	54039
2470.40	168.2	54109
2470.90	200.3	54178
2471.40	239.1	54248
2471.90	222.2	54317
2472.50	235.2	54394
2473.00	269.6	54458
2473.50	153.1	54521
2474.00	84.0	54584
2474.50	76.5	54648
2475.00	66.3	54711
2475.50	61.4	54774
2476.00	49.0	54837
2476.50	52.0	54901
2477.00	71.8	54964
2477.50	104.9	55027
2478.00	54.4	55091
2478.50	45.2	55154
2479.00	50.1	55217
2479.50	55.4	55281
2480.10	54.3	55356
2480.60	43.5	55420
2481.10	44.7	55483
2481.60	53.3	55546
2482.10	86.8	55608
2482.60	94.1	55661
2483.10	90.2	55714
2483.70	83.7	55779
2484.20	71.4	55832
2484.70	93.3	55885
2485.20	104.9	55939
2485.70	97.8	55992
2486.10	102.0	56035
2486.70	74.4	56099
2487.20	58.1	56152
2487.70	57.2	56206
2488.20	89.5	56259
2488.70	112.2	56313
2489.20	137.4	56366
2489.70	108.5	56419
2490.20	42.4	56473
2490.70	60.0	56526
2491.20	42.4	56580
2491.70	74.9	56633
2492.20	140.4	56687
2492.70	83.5	56742
2493.20	41.6	56796
2493.80	49.2	56862
2494.30	94.3	56916
2494.80	162.6	56971
2495.30	143.6	57026
2495.80	181.0	57080
2496.30	149.3	57135
2496.80	59.6	57190
2497.30	53.3	57244
2497.80	47.7	57299
2498.30	36.0	57354
2498.80	50.0	57408
2499.30	58.9	57463
2499.80	72.7	57518
2500.30	49.6	57572
2500.80	55.1	57627
2501.30	56.5	57681
2501.80	64.5	57736
2502.30	53.2	57794
2502.90	72.1	57866
2503.40	169.5	57927
2503.90	193.2	57987
2504.40	131.8	58047
2504.90	49.3	58107
2505.40	48.2	58167
2505.90	78.4	58228
2506.40	52.6	58288
2506.90	183.3	58348
2507.40	243.0	58408
2507.90	249.2	58468
2508.40	253.4	58529
2508.90	281.0	58589
2509.40	293.5	58649
2509.90	265.3	58709
2510.40	270.7	58769
2511.00	199.3	58842
2511.50	248.6	58902
2512.00	290.7	58962
2512.70	327.7	59052
2513.30	377.7	59129
2513.80	368.9	59193
2514.30	433.0	59258
2514.80	377.5	59322
2515.30	441.0	59386
2515.90	379.0	59463
2516.40	482.6	59527
2516.90	597.3	59592
