Laser	Light	Scattering	(SOLID)
Depth	Average
1853.200	228
1853.202	389
1853.204	375
1853.206	318
1853.208	291
1853.210	269
1853.212	257
1853.214	265
1853.216	276
1853.218	292
1853.220	324
1853.222	355
1853.224	362
1853.226	400
1853.228	390
1853.230	376
1853.232	385
1853.234	348
1853.236	468
1853.238	423
1853.240	253
1853.242	195
1853.244	221
1853.246	229
1853.248	296
1853.250	372
1853.252	430
1853.254	419
1853.256	373
1853.258	391
1853.260	538
1853.262	478
1853.264	521
1853.266	886
1853.268	1144
1853.270	753
1853.272	327
1853.274	218
1853.276	243
1853.278	249
1853.280	266
1853.282	262
1853.284	257
1853.286	240
1853.288	230
1853.290	236
1853.292	244
1853.294	239
1853.296	217
1853.298	251
1853.300	236
1853.302	212
1853.304	221
1853.306	210
1853.308	266
1853.310	403
1853.312	578
1853.314	569
1853.316	421
1853.318	322
1853.320	285
1853.322	245
1853.324	249
1853.326	236
1853.328	270
1853.330	330
1853.332	441
1853.334	452
1853.336	529
1853.338	452
1853.340	275
1853.342	237
1853.344	252
1853.346	288
1853.348	367
1853.350	362
1853.352	356
1853.354	264
1853.356	193
1853.358	189
1853.360	174
1853.362	180
1853.364	178
1853.366	184
1853.368	162
1853.370	155
1853.372	162
1853.374	179
1853.376	211
1853.378	270
1853.380	322
1853.382	378
1853.384	350
1853.386	240
1853.388	211
1853.390	190
1853.392	208
1853.394	308
1853.396	316
1853.398	354
1853.400	346
1853.402	311
1853.404	306
1853.406	292
1853.408	279
1853.410	234
1853.412	224
1853.414	233
1853.416	237
1853.418	224
1853.420	225
1853.422	251
1853.424	245
1853.426	256
1853.428	197
1853.430	216
1853.432	283
1853.434	271
1853.436	228
1853.438	225
1853.440	222
1853.442	210
1853.444	272
1853.446	314
1853.448	270
1853.450	296
1853.452	379
1853.454	448
1853.456	409
1853.458	295
1853.460	309
1853.462	302
1853.464	360
1853.466	297
1853.468	304
1853.470	448
1853.472	864
1853.474	614
1853.476	460
1853.478	349
1853.480	334
1853.482	317
1853.484	320
1853.486	335
1853.488	345
1853.490	288
1853.492	280
1853.494	304
1853.496	338
1853.498	393
1853.500	411
1853.502	437
1853.504	450
1853.506	350
1853.508	269
1853.510	280
1853.512	316
1853.514	351
1853.502	499
1853.504	496
1853.506	476
1853.508	445
1853.510	465
1853.512	368
1853.514	340
1853.516	282
1853.518	243
1853.520	252
1853.522	247
1853.524	312
1853.526	260
1853.528	237
1853.530	252
1853.532	284
1853.534	275
1853.536	260
1853.538	229
1853.540	244
1853.542	311
1853.544	354
1853.546	351
1853.548	338
1853.550	363
1853.552	505
1853.554	615
1853.556	352
1853.558	220
1853.560	210
1853.562	199
1853.564	197
1853.566	270
1853.568	262
1853.570	344
1853.572	356
1853.574	367
1853.576	393
1853.578	425
1853.580	409
1853.582	300
1853.584	261
1853.586	259
1853.588	289
1853.590	285
1853.592	218
1853.594	235
1853.596	289
1853.598	288
1853.600	252
1853.602	349
1853.604	508
1853.606	466
1853.608	328
1853.610	351
1853.612	424
1853.614	555
1853.616	530
1853.618	556
1853.620	608
1853.622	667
1853.624	750
1853.626	774
1853.628	717
1853.630	587
1853.632	712
1853.634	871
1853.636	662
1853.638	584
1853.640	601
1853.642	556
1853.644	494
1853.646	400
1853.648	309
1853.650	278
1853.652	265
1853.654	331
1853.656	281
1853.658	271
1853.660	236
1853.662	224
1853.664	227
1853.666	263
1853.668	244
1853.670	227
1853.672	251
1853.674	377
1853.676	421
1853.678	336
1853.680	320
1853.682	291
1853.684	289
1853.686	318
1853.688	374
1853.690	356
1853.692	359
1853.694	342
1853.696	387
1853.698	342
1853.700	272
1853.702	286
1853.704	455
1853.706	447
1853.708	359
1853.710	297
1853.712	263
1853.714	284
1853.716	281
1853.718	307
1853.720	388
1853.722	427
1853.724	406
1853.726	402
1853.728	414
1853.730	397
1853.732	374
1853.734	326
1853.736	406
1853.738	397
1853.740	393
1853.742	453
1853.744	429
1853.746	521
1853.748	561
1853.750	421
1853.752	382
1853.754	327
1853.756	296
1853.758	378
1853.760	358
1853.762	329
1853.764	400
1853.766	395
1853.768	333
1853.770	356
1853.772	365
1853.774	366
1853.776	362
1853.778	312
1853.780	302
1853.782	343
1853.784	340
1853.786	331
1853.788	303
1853.790	238
1853.792	250
1853.794	292
1853.796	484
1853.798	676
1853.800	659
1853.802	591
1853.804	566
1853.806	563
1853.808	716
1853.810	887
1853.812	976
1853.814	937
1853.816	914
1853.818	959
1853.820	964
1853.822	949
1853.824	996
1853.826	987
1853.828	948
1853.830	755
1853.832	751
1853.834	752
1853.836	724
1853.838	709
1853.840	639
1853.842	553
1853.844	521
1853.846	493
1853.848	515
1853.850	598
1853.852	425
1853.854	410
1853.856	440
1853.858	470
1853.860	568
1853.862	564
1853.864	552
1853.866	669
1853.868	654
1853.870	576
1853.872	535
1853.874	621
1853.876	679
1853.878	679
1853.880	667
1853.882	668
1853.884	677
1853.886	752
1853.888	736
1853.890	604
1853.892	586
1853.894	547
1853.896	512
1853.898	420
1853.900	400
1853.902	497
1853.904	504
1853.906	462
1853.908	368
1853.910	293
1853.912	396
1853.914	428
1853.916	348
1853.918	298
1853.920	289
1853.922	314
1853.924	310
1853.926	222
1853.928	223
1853.930	300
1853.932	342
1853.934	337
1853.936	326
1853.938	366
1853.940	416
1853.942	407
1853.944	415
1853.946	437
1853.948	386
1853.950	366
1853.952	321
1853.954	257
1853.956	243
1853.958	257
1853.960	279
1853.962	258
1853.964	244
1853.966	292
1853.968	478
1853.970	702
1853.972	810
1853.974	817
1853.976	630
1853.978	509
1853.980	485
1853.982	426
1853.984	354
1853.986	397
1853.988	498
1853.990	724
1853.992	847
