### Lecavalier et al., 2013 Revised estimates of Greenland ice sheet thinning histories based on ice-core records;;;;;;;;;;;;;;;;;;;
###;;;;;;;;;;;;;;;;;;;
### Holocene Thinning Curves (TC);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);
Time (ka);GRIP TC (m);GRIP TC (m);Upper bound;Lower bound;;NGRIP TC (m);NGRIP TC (m);Upper bound;Lower bound;;DYE-3 TC (m);DYE-3 TC (m);Upper bound;Lower bound;;Camp Century TC (m);Camp Century TC (m);Upper bound;Lower bound
-0.5;13.1913691800653;13.27415465375;81.27415465375;-54.8086308199347;;9.1788992278095;9.41705743833535;77.4170574383354;-58.8211007721905;;17.8435271977839;17.4817906714674;89.8435271977839;-54.5182093285326;;-6.54440617610393;-6.18626901821002;65.81373098179;-78.5444061761039
-0.52;13.8815272414456;13.969136904605;81.969136904605;-54.1184727585544;;9.65299334765352;9.90502984239076;77.9050298423908;-58.3470066523465;;17.8961747287346;17.5133585918919;89.8961747287346;-54.4866414081081;;-7.03295498818781;-6.65394796713431;65.3460520328657;-79.0329549881878
-0.54;14.5742446312133;14.6666755785823;82.6666755785823;-53.4257553687867;;10.1399846647909;10.405891085842;78.405891085842;-57.8600153352091;;17.8846726581113;17.48078960548;89.8846726581113;-54.51921039452;;-7.53596252281867;-7.13609820703065;64.8639017929694;-79.5359625228187
-0.56;15.2635468878407;15.3608020246832;83.3608020246832;-52.7364531121593;;10.6313995684909;10.9111842737533;78.9111842737533;-57.3686004315091;;17.8186673026215;17.393704639464;89.8186673026215;-54.606295360536;;-8.05771386514772;-7.63697968620017;64.3630203137998;-80.0577138651477
-0.58;15.927395160332;16.029474486649;84.029474486649;-52.072604839668;;11.1208369762279;11.4144999657015;79.4144999657016;-56.8791630237721;;17.6491182425004;17.2030759688167;89.6491182425004;-54.7969240311833;;-8.60616509774945;-8.16456105564469;63.8354389443553;-80.6061650977495
-0.6;16.5766410166052;16.6835430797644;84.6835430797644;-51.4233589833948;;11.6095669094818;11.9171040042185;79.9171040042185;-56.3904330905183;;17.4110127080529;16.9438971712118;89.4110127080529;-55.0561028287882;;-9.17412297496692;-8.71165535391328;63.2883446460867;-81.1741229749669
-0.62;17.2157822489169;17.3277089647067;85.3277089647068;-50.7842177510831;;12.1008446035923;12.4228366772764;80.4228366772764;-55.8991553964077;;17.1217228256819;16.6326517414722;89.1217228256819;-55.3673482585278;;-9.76918441076394;-9.28497970550096;62.715020294499;-81.7691844107639
-0.64;17.840127689331;17.9571647630155;85.9571647630155;-50.159872310669;;12.5960069948588;12.9327006053842;80.9327006053842;-55.4039930051412;;16.7860380630648;16.2746369367485;88.7860380630648;-55.7253630632515;;-10.3889314303612;-9.88261887246578;62.1173811275342;-82.3889314303612
-0.66;18.4513941005152;18.5735415320944;86.5735415320944;-49.5486058994848;;13.0961761571423;13.4475713045089;81.4475713045089;-54.9038238428577;;16.3938508391399;15.8601196707192;88.3938508391399;-56.1398803292808;;-11.0266634910226;-10.4982430804981;61.5017569195019;-83.0266634910226
-0.68;19.044483323743;19.1717425658478;87.1717425658478;-48.9555166762571;;13.5982473433369;13.964348206493;81.964348206493;-54.4017526566631;;15.9510560525086;15.3949884946135;87.9510560525086;-56.6050115053865;;-11.6822377544965;-11.131703207129;60.868296792871;-83.6822377544965
-0.7;19.6191447849571;19.7515158375888;87.7515158375888;-48.3808552150429;;14.1027522300368;14.4835588089846;82.4835588089846;-53.8972477699632;;15.4684225372229;14.8900185898534;87.4684225372229;-57.1099814101466;;-12.3517184497337;-11.7790697655229;60.2209302344771;-84.3517184497337
-0.72;20.1674344971761;20.3049173603351;88.3049173603351;-47.8325655028239;;14.6015888019878;14.9971010967239;82.9971010967239;-53.3984111980122;;14.9262649329641;14.3255245961214;86.9262649329641;-57.6744754038786;;-13.0473231469647;-12.452560325912;59.547439674088;-85.0473231469647
-0.74;20.6848204321193;20.8275502005415;88.8275502005415;-47.3151795678807;;15.0919799786483;15.5025866312786;83.5025866312786;-52.9080200213517;;14.3276566601186;13.7039896285403;86.3276566601186;-58.2960103714597;;-13.7637799152771;-13.1463185258042;58.8536814741958;-85.7637799152771
-0.76;21.1773023512656;21.3253560144235;89.3253560144235;-46.8226976487344;;15.5789802408595;16.0049027355956;84.0049027355956;-52.4210197591405;;13.7006245101079;13.0536943732662;85.7006245101078;-58.9463056267338;;-14.5024124657257;-13.8619194446739;58.1380805553261;-86.5024124657257
-0.78;21.6409286779815;21.7943076885078;89.7943076885078;-46.3590713220185;;16.0601247255126;16.5013672413015;84.5013672413015;-51.9398752744874;;13.0386343984834;12.3684348090082;85.0386343984834;-59.6315651909918;;-15.2580790861737;-14.5945481493313;57.4054518506688;-87.2580790861737
-0.8;22.0807256433868;22.2394285486498;90.2394285486498;-45.9192743566132;;16.5355821900907;16.9921405479843;84.9921405479843;-51.4644178099093;;12.3467355953485;11.653272900611;84.3467355953485;-60.346727099389;;-16.0363680289096;-15.3498054604895;56.6501945395105;-88.0363680289095
-0.82;22.4898808562993;22.653910561562;90.6539105615621;-45.5101191437007;;17.0031608593781;17.4750434172714;85.4750434172714;-50.9968391406219;;11.6310917202084;10.9143532254721;83.6310917202084;-61.0856467745279;;-16.8321827632872;-16.1225759948669;55.8774240051331;-88.8321827632872
-0.84;22.8698566368032;23.0392116894343;91.0392116894343;-45.1301433631968;;17.4659112897195;17.9531138686655;85.9531138686655;-50.5340887102806;;10.8918286381125;10.151820690744;82.8918286381125;-61.848179309256;;-17.6497479040295;-16.9171032198207;55.0828967801793;-89.6497479040295
-0.86;23.2197506207888;23.3945239892105;91.3945239892105;-44.7802493792112;;17.9153185872889;18.4181086399205;86.4181086399205;-50.0846814127111;;10.1280737543138;9.3643901227341;82.1280737543139;-62.6356098772659;;-18.4780902448136;-17.7220054553412;54.2779945446588;-90.4780902448136
