GISP2 Stable Isotopes (Deuterium, annual averages)

REFERENCES: 

Barlow, L.K., J.C. Rogers, M.C. Serreze, and R.G. Barry. 1997. Aspects of
climate variability in the North Atlantic sector: Discussion and relation
to the Greenland Ice Sheet Project 2 high-resolution isotopic signal.
Journal of Geophysical Research 102:26333-26344.

White, D.E., J.W.C. White, E.J. Steig, and L.K. Barlow. 1997.
Reconstructing annual and seasonal climatic responses from volcanic events
since A.D. 1270 as recorded in the deuterium signal from the Greenland Ice
Sheet Project 2 ice core. Journal of Geophysical Research 102:19683-19694.

White, J.W.C., L.K. Barlow, D. Fisher, P.M. Grootes, J. Jouzel, S.J.
Johnsen, M. Stuiver, and H.B. Clausen. 1997. The climate signal in the
stable isotopes of snow from Summit, Greenland: Results of comparisons with
modern climate observations. Journal of Geophysical Research 102:26425
26439.

Barlow, L.K. 1994. Evaluation of seasonal to decadal scale deuterium and
deuterium excess signals, GISP2 ice core, Summit, Greenland, A.D. 1270
1985. Ph.D. Thesis, University of Colorado, Boulder, Colorado, USA.

Barlow, L.K., J.W.C. White, R.G. Barry, J.C. Rogers, and P.M. Grootes.
1993. The North Atlantic oscillation signature in deuterium and deuterium
excess signals in the Greenland Ice Sheet Project 2 ice core, 1840-1970.
Geophysical Research Letters 20:2901-2904.

DATA DESCRIPTION: 

These data were produced in the stable isotope laboratory of at the
University of Colorado. The variable Year is the calendar year associated
with the sample, determined as described in Barlow (1994). This is
effectively a winter-to-winter year, as defined by troughs in the delta
deuterium data, as opposed to the summer-to-summer year defined by the
official layer-counted timescale of Meese et al. (1997), given in the file
gisp2age.dat.  The latter timescale is given in this file as Age Top, as
interpolated from the top depths for the samples. 

DATA:

Depth	delta Deuterium	Year	Age
Top (m)	(per mil)	(A.D.)	(yr BP)

105.67	-257.64	1650	300.45
106	-265.85	1649	301.81
106.16	-290.94	1648	302.42
106.44	-278.88	1647	303.43
106.72	-263.69	1646	304.35
107	-264.21	1645	305.5
107.23	-275.15	1644	306.47
107.5	-275.69	1643	307.4
107.73	-268.84	1642	308.44
107.97	-272.89	1641	309.61
108.27	-278.21	1640	310.88
108.47	-289.38	1639	311.57
108.7	-291.36	1638	312.48
109.1	-279.09	1637	313.76
109.43	-263.54	1636	314.73
109.67	-276.17	1635	315.65
109.9	-273.38	1634	316.6
110.16	-263.68	1633	317.76
110.35	-262.63	1632	318.52
110.55	-263.65	1631	319.21
111.03	-259.39	1630	320.7
111.29	-268.8	1629	321.65
111.55	-277.02	1628	322.77
111.74	-276.86	1627	323.61
111.94	-273.31	1626	324.65
112.19	-275.15	1625	326.03
112.35	-273.99	1624	326.47
112.65	-269.21	1623	327.46
112.9	-266.09	1622	328.52
113.16	-268.76	1621	329.54
113.46	-275.13	1620	330.65
113.68	-261.2	1619	331.43
113.85	-263.86	1618	332
114.13	-248.16	1617	333.14
114.34	-262.96	1616	333.86
114.83	-266.65	1615	335.79
115.07	-272.96	1614	336.58
115.37	-275.39	1613	337.71
115.56	-276.62	1612	338.57
115.8	-266.05	1611	339.6
116.01	-261.05	1610	340.48
116.23	-270.1	1609	341.56
116.39	-287.12	1608	342.42
116.59	-285.37	1607	343.36
116.83	-263.1	1606	344.53
117.06	-274.38	1605	345.53
117.33	-267.89	1604	346.48
117.6	-263.19	1603	347.39
117.81	-282.52	1602	348.05
118.06	-273.93	1601	349.3
118.27	-259.88	1600	350.28
118.48	-266.97	1599	351.12
118.79	-263.95	1598	352.3
119.06	-260.04	1597	353.3
119.3	-260.41	1596	354.38
119.52	-267.3	1595	355.29
119.82	-268.21	1594	356.68
119.97	-285.64	1593	357.73
120.12	-276.86	1592	358.4
120.33	-279.07	1591	359.13
120.57	-282.86	1590	360.14
120.87	-265.15	1589	361.13
121.33	-274.36	1588	362.46
121.61	-272.18	1587	363.57
121.85	-267.67	1586	364.61
122.04	-266.14	1585	365.36
122.31	-268.73	1584	366.5
122.56	-276.97	1583	367.5
122.8	-271.17	1582	368.36
123.06	-268.57	1581	369.57
123.33	-266.77	1580	370.82
123.55	-275.35	1579	371.55
123.82	-274.03	1578	372.36
124.12	-262.26	1577	373.64
124.36	-263.98	1576	374.79
124.63	-262.53	1575	375.76
124.84	-270.66	1574	376.56
125.09	-269.61	1573	377.78
125.33	-274.19	1572	378.83
125.48	-289.99	1571	379.5
125.75	-273.86	1570	380.62
125.93	-275.53	1569	381.38
126.21	-279.11	1568	382.5
126.42	-288.49	1567	383.32
126.67	-283.98	1566	384.48
126.88	-271.95	1565	385.42
