GISP2 Oxygen Isotope Data (1 year averages)

REFERENCES: 

Grootes, P.M., and M. Stuiver. 1997. Oxygen 18/16 variability in Greenland
snow and ice with 10^3 to 10^5-year time resolution. Journal of
Geophysical Research 102:26455-26470.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

Grootes, P.M., M. Stuiver, J.W.C. White, S.J. Johnsen, and J. Jouzel. 1993.
Comparison of oxygen isotope records from the GISP2 and GRIP Greenland ice
cores. Nature 366:552-554.

DATA DESCRIPTION: 

This file contains the GISP2 delta 18O data over 1 year intervals, back to
1133 years B.P., measured at the Quaternary Isotope Laboratory, University
of Washington, as of February 1st, 1997. The timescale includes revisions
by D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
those of the D core; above 167 meters the core depths are those of the B
core + 1.09 meters.  See the file gisp2age.dat for further information on
the timescale. 

The data columns represent:

(1) top depths of intervals (in meters)		

(2) mean delta 18-O values (in per mil) over annual intervals starting at		
top depths.  Standard deviation in a single delta 18-O measurement is 0.14		
per mil. Multiple measurements (such as for the ones below) reduce the		
standard deviation to the 0.05 to 0.1 per mil range.		

(3) layer count ages at top depths (in yr BP) where 0 BP represents AD		
1950 SUMMER to AD 1949 SUMMER		

DATA:		

Depth	d18O	Age
114.6	-34.03	331
114.9	-33.59	332
115.1	-32.78	333
115.4	-34.71	334
115.7	-34.18	335
115.9	-35.38	336
116.2	-35.77	337
116.5	-35.87	338
116.7	-34.5	339
116.9	-34.05	340
117.2	-35.43	341
117.4	-37.31	342
117.5	-36.32	343
117.8	-33.36	344
117.9	-35.12	345
118.2	-34.58	346
118.5	-34.69	347
118.8	-37.47	348
119	-34.99	349
119.2	-34.04	350
119.5	-34.53	351
119.7	-34.13	352
120	-33.57	353
120.2	-34.23	354
120.5	-34.74	355
120.7	-34.59	356
120.9	-36.94	357
121	-36.26	358
121.3	-36.83	359
121.6	-34.61	360
121.9	-36.18	361
122.2	-35.46	362
122.5	-35.14	363
122.8	-34.48	364
123	-34.31	365
123.3	-35.26	366
123.4	-36.06	367
123.8	-35.06	368
124	-35.18	369
124.2	-34.6	370
124.4	-35.57	371
124.7	-35.29	372
125.1	-33.43	373
125.2	-34.42	374
125.5	-33.87	375
125.7	-35.37	376
126	-35.01	377
126.2	-35.38	378
126.4	-37.21	379
126.6	-35.61	380
126.9	-36.23	381
127.1	-36.28	382
127.4	-37.46	383
127.6	-36.43	384
127.8	-35.42	385
128	-35.93	386
128.2	-34.83	387
128.5	-34.74	388
128.6	-36.18	389
128.9	-34.06	390
129.1	-33.39	391
129.2	-33.67	392
129.4	-34.61	393
129.7	-34.18	394
129.9	-34.74	395
130.2	-33.17	396
130.4	-33.97	397
130.7	-33.29	398
130.8	-33.95	399
131.2	-35.35	400
131.4	-36.55	401
131.7	-36.63	402
131.9	-35.45	403
132.1	-36.1	404
132.4	-38.22	405
132.6	-34.8	406
132.9	-33.2	407
133.1	-36.17	408
133.4	-33.76	409
133.7	-34.61	410
133.9	-35.08	411
134.2	-35.66	412
134.4	-34.69	413
134.7	-33.64	414
134.9	-34.21	415
135.1	-33.59	416
135.4	-33.77	417
135.7	-35.19	418
135.9	-35.71	419
136.2	-34.95	420
136.4	-33.81	421
136.7	-35.63	422
136.9	-35.2	423
137.1	-35.6	424
137.4	-34.34	425
137.6	-35.04	426
137.9	-38.14	427
138.1	-37.94	428
138.3	-37.01	429
138.5	-35.53	430
138.7	-35.58	431
138.8	-35.39	432
139.1	-35.81	433
139.3	-34.54	434
139.5	-35.9	435
139.7	-34.21	436
139.9	-34.04	437
140.2	-33.37	438
140.5	-35.56	439
140.8	-35.35	440
141	-34.63	441
141.2	-35.48	442
141.5	-35.86	443
141.7	-36.01	444
141.9	-36.42	445
142.2	-36.18	446
142.4	-33.45	447
142.7	-35.55	448
143	-34.04	449
143.3	-34.71	450
143.5	-35.41	451
143.8	-33.83	452
144	-33.59	453
144.2	-34.83	454
144.5	-35.41	455
144.6	-35.31	456
144.7	-36.41	457
145.1	-34.86	458
145.4	-31.94	459
145.7	-34.99	460
145.9	-35.55	461
146.2	-34.4	462
146.3	-35.65	463
146.6	-36.22	464
146.8	-35.25	465
147.1	-36.89	466
147.2	-36.55	467
147.5	-35.3	468
147.7	-35.69	469
147.9	-35.6	470
148.3	-35.93	471
148.4	-35.8	472
148.6	-35.24	473
148.8	-35.04	474
149	-35.98	475
149.2	-37.46	476
149.4	-35.35	477
149.6	-34.72	478
149.9	-34.21	479
150	-34.48	480
150.1	-35.66	481
150.3	-35.21	482
150.4	-35.26	483
150.7	-33.07	484
150.9	-35.59	485
151.2	-34.74	486
151.4	-34.47	487
151.5	-35.94	488
151.8	-35.08	489
152.1	-34.7	490
152.4	-34.51	491
152.6	-34.72	492
152.9	-33.96	493
153.2	-34.84	494
153.5	-34.7	495
153.6	-33.87	496
153.8	-35.1	497
154	-34.95	498
154.3	-34.6	499
154.5	-34.8	500
154.6	-36.15	501
154.9	-35.8	502
155.2	-33.61	503
155.4	-35.66	504
155.7	-35.16	505
155.9	-35.46	506
156.1	-33.3	507
156.2	-35.01	508
156.5	-34.8	509
156.8	-33.54	510
157.1	-35.06	511
157.2	-35.92	512
157.4	-35	513
157.7	-35.9	514
157.9	-35.99	515
158.2	-36.24	516
158.5	-35.29	517
158.7	-35.48	518
158.9	-35.6	519
159.2	-33.87	520
159.6	-34.75	521
159.8	-36.03	522
160	-33.81	523
160.2	-34.73	524
160.5	-34.63	525
160.8	-35.38	526
161	-34.85	527
161.2	-35.87	528
161.5	-35.07	529
161.7	-32.83	530
162	-33.77	531
162.2	-34.72	532
162.5	-34.71	533
162.8	-35.59	534
163	-34.67	535
163.2	-34.92	536
163.5	-36.05	537
163.7	-35.21	538
163.9	-34.34	539
164.2	-34.95	540
164.5	-34.16	541
164.7	-33.28	542
164.9	-34.1	543
165.1	-33.51	544
165.3	-35.38	545
