age (yr)	total sulfate (ppb)	volcanic sulfate

1323.09	24.83	0
1325.11	29.44	0
1327.21	28.82	0
1330.69	30.16	0
1333.30	33.14	2
1335.18	33.86	5
1407.79	22.00	0
1410.69	29.25	0
1412.63	32.80	0
1414.76	31.17	0
1417.50	37.85	0
1420.08	51.63	14
1422.78	27.09	0
1425.08	36.69	0
1426.76	26.51	0
1429.16	34.25	0
1430.91	27.95	0
1433.39	29.63	1
1436.04	25.98	0
1438.03	33.14	0
1441.29	58.98	22
1443.82	43.23	0
1446.11	22.77	0
1448.95	25.74	0
1451.20	30.26	0
1453.42	34.49	0
1455.66	26.66	0
1457.65	31.03	0
1459.74	32.85	1
1462.22	33.38	0
1464.58	33.33	0
1467.23	28.53	0
1468.93	31.60	0
1471.30	36.79	0
1473.20	34.68	0
1475.15	40.30	2
1477.34	62.01	27
1479.43	31.75	0
1481.48	33.24	0
1483.81	24.78	0
1485.81	35.64	0
1488.13	37.94	0
1490.48	27.57	0
1492.38	32.52	0
1494.53	31.70	0
1496.85	25.74	0
1498.98	30.21	0
1501.23	30.16	0
1503.31	33.48	2
1505.83	37.70	0
1508.29	37.27	3
1510.50	27.86	0
1513.20	58.40	15
1514.95	26.70	0
1517.23	24.21	0
1519.26	55.28	16
1521.50	49.13	14
1523.74	25.46	0
1526.26	37.22	6
1528.44	30.21	0
1530.60	23.97	0
1533.70	24.01	0
1535.69	51.54	20
1537.84	30.98	0
1540.14	24.01	0
1541.50	23.92	0
1562.73	25.26	0
1564.90	22.29	0
1566.92	23.10	0
1569.14	34.29	0
1586.80	40.01	0
1589.25	26.70	0
1591.42	21.47	0
1594.28	32.56	0
1597.22	38.23	0
1599.38	23.01	0
1601.46	26.90	1
1603.66	30.50	0
1605.76	21.37	0
1607.91	29.59	0
1611.35	26.61	0
1613.35	25.94	0
1615.17	30.55	0
1617.03	44.24	18
1619.45	34.49	0
1621.54	26.13	0
1623.79	33.86	12
1625.98	43.03	8
1628.98	40.15	0
1631.17	37.22	8
1633.42	30.16	0
1635.50	31.46	0
1637.52	41.93	0
1640.14	32.56	2
1642.80	36.89	0
1645.22	51.68	12
1647.63	31.41	0
1650.00	34.53	0
1652.56	43.66	0
1655.03	32.56	0
1657.71	31.41	0
1659.82	33.96	0
1662.00	35.59	0
1664.24	50.38	0
1666.57	58.12	6
1668.65	42.99	6
1670.90	39.34	0
1673.07	29.78	0
1675.26	27.09	0
1677.56	27.86	0
1679.48	39.38	10
1682.13	83.91	52
1684.95	82.71	44
1687.29	35.25	2
1689.64	43.85	0
1691.73	29.15	0
1693.93	19.93	0
1696.84	34.63	0
1699.33	27.28	0
1701.67	27.81	0
1703.82	27.18	0
1705.87	25.89	0
1708.28	29.39	0
1710.63	44.33	0
1712.96	51.01	11
1715.16	27.81	0
1717.58	33.48	0
1720.04	43.23	2
1722.14	22.86	0
1724.27	29.49	0
1726.29	37.85	0
1729.29	30.16	0
1731.79	46.73	5
1734.07	29.20	0
1737.25	39.72	0
1739.33	18.68	0
1741.26	26.61	0
1743.25	25.60	0
1745.43	36.07	0
1747.60	25.17	0
1749.91	26.80	0
1753.19	31.46	0
1755.48	33.91	0
1757.69	31.22	0
1760.32	38.95	0
1762.84	41.50	0
1765.37	24.50	0
1768.29	51.82	0
1770.50	28.91	0
1773.45	32.80	1
1776.53	34.58	0
1779.06	30.98	5
1781.62	28.67	0
1783.67	43.27	0
1786.05	41.26	0
1788.38	62.63	31
1790.48	31.12	3
1792.35	25.65	1
1794.55	25.31	0
1796.87	74.93	42
1799.28	24.16	0
1801.60	21.95	0
1804.44	27.47	0
1806.48	24.35	0
1808.95	24.78	0
1810.82	33.81	5
1812.91	27.57	0
1815.02	25.36	0
1817.32	26.70	0
1819.67	30.02	0
1821.55	28.39	0
1823.32	32.85	0
1825.67	27.81	0
1828.00	38.42	0
1830.43	36.55	0
1832.47	40.73	0
1835.13	33.09	0
1837.61	12.06	0
1839.54	24.74	0
1841.88	31.70	0
1844.33	38.23	0
1846.66	23.68	0
1849.05	27.04	3
1851.15	31.51	6
1853.50	27.91	0
1855.45	28.58	1
1857.74	28.87	0
1860.26	28.77	0
1863.43	21.95	0
1865.72	39.43	0
1867.88	26.56	0
1869.46	27.28	0
1871.82	127.37	95
1874.07	33.57	0
1876.24	29.97	0
1878.64	43.27	0
1880.90	40.82	5
1882.85	28.67	0
1884.96	27.09	0
1886.92	31.22	0
1888.43	40.10	0
1890.19	39.62	0
1892.79	29.01	0
1895.16	41.50	0
1897.42	45.58	15
1899.92	34.25	1
1901.68	42.94	1
1910.38	45.10	16
1911.91	28.87	0
1913.82	27.28	0
1915.66	25.50	0
1918.37	21.18	0
1920.93	34.44	0
1923.21	30.31	0
1925.20	29.35	0
1927.35	22.00	0
1929.40	35.59	0
1931.64	26.42	0
1933.95	22.09	0
1936.02	36.12	0
1938.18	35.93	0
1940.50	25.79	0
1942.74	26.94	0
1946.10	34.34	0
1947.44	30.21	0
1949.20	28.29	0
1951.45	31.89	0
1953.70	34.53	0
1955.93	31.80	0
1958.09	30.16	7
1960.13	28.05	0
1961.94	20.56	0
1964.11	30.07	0
1967.13	49.57	5
1969.34	29.87	0
1971.26	37.22	13
1973.14	37.99	2
1975.72	26.80	0
1989.96	26.99	0
1991.25	23.34	0
1992.96	64.31	39
1995.02	21.52	0
1997.20	27.95	0
2000.25	46.35	10
2002.86	327.27	288
2005.03	51.97	11
2007.29	40.15	0
2009.92	34.53	0
2011.98	34.53	0
2015.32	35.69	0
2017.55	34.63	0
2019.77	37.56	0
2022.08	40.30	6
2025.44	34.39	0
2027.98	45.00	8
2030.20	34.63	0
2032.48	36.98	0
2034.63	30.50	0
2036.81	44.09	11
2038.98	35.49	0
2040.89	43.42	0
2042.82	34.29	0
2045.30	49.95	14
2047.91	65.42	16
2051.15	66.38	22
2052.98	38.52	5
2055.38	37.75	0
2057.54	34.15	2
2059.59	33.48	0
2061.61	25.70	0
2063.73	28.67	0
2065.95	53.22	25
2068.13	29.49	0
2070.53	40.10	1
2072.05	36.60	0
2081.92	46.54	4
2083.93	50.57	0
2086.31	37.32	0
2088.63	43.85	21
2090.92	32.18	0
2093.58	34.68	7
2096.09	39.91	2
2098.17	72.96	22
2100.36	118.49	83
2102.50	54.13	19
2104.79	86.88	47
2106.87	39.24	4
2109.25	43.61	1
2111.35	34.05	1
2113.82	39.05	8
2116.50	61.14	18
2118.91	68.59	21
2121.03	51.06	14
2122.93	68.59	21
2127.50	80.45	32
2129.32	131.17	80
2131.61	35.01	0
2134.08	24.83	0
2136.63	28.43	0
2139.14	24.83	0
2141.50	35.93	1
2143.74	29.54	0
2145.87	32.32	0
2148.29	26.37	0
2150.53	31.41	0
2152.98	20.56	0
2154.90	31.36	0
2157.13	33.43	0
2159.58	25.50	0
2162.07	29.35	0
2164.17	30.16	0
2166.31	30.88	2
2168.56	50.19	13
2170.80	43.99	1
2173.31	34.10	0
2175.64	36.50	0
2177.79	70.94	14
2180.25	24.21	0
2182.57	30.98	0
2184.97	26.51	0
2187.08	31.51	0
2189.48	39.72	0
2191.88	32.76	0
2193.90	39.38	6
2196.16	19.21	0
2198.74	34.29	0
2200.50	25.79	0
2202.45	83.67	35
2204.60	68.20	23
2207.07	37.99	0
2209.50	33.28	0
2211.78	30.55	0
2214.10	60.08	16
2216.25	33.24	0
2218.39	26.18	0
2220.55	36.60	12
2222.67	29.15	5
2224.86	32.56	0
2227.07	32.52	0
2229.55	26.94	3
2231.71	30.16	0
2234.03	27.62	0
2236.34	36.21	0
2238.78	41.93	10
2241.17	64.74	16
2243.29	31.12	3
2245.21	32.13	0
2247.37	52.93	0
2249.09	46.68	3
2251.59	34.05	0
2253.93	37.66	12
2256.33	51.39	9
2258.60	40.63	4
2261.07	26.70	0
2263.48	32.37	0
2265.87	38.47	3
2268.29	30.74	0
2270.45	30.98	0
2272.64	23.97	0
2274.87	38.33	0
2277.00	27.18	0
2279.36	31.36	6
2281.47	24.93	0
2283.85	39.38	4
2286.15	45.53	5
2288.58	24.40	2
2290.17	40.87	6
2292.55	50.86	10
2294.35	38.09	0
2301.45	35.25	1
2303.97	43.47	0
2306.36	47.60	0
2308.80	41.11	8
2311.13	35.59	0
2313.61	92.98	49
2315.69	30.16	0
2317.86	37.85	0
2320.23	30.83	0
2322.50	22.53	0
2324.61	31.89	0
2327.16	27.71	0
2329.14	25.22	0
2331.21	34.73	3
2333.40	22.57	0
2347.69	29.01	0
