Kindler et al., 2014, Clim. Past;;;;;;;;;;;
Temperature reconstruction from 10 to 120 kyr b2k from the NGRIP ice core;;;;;;;;;;;
supplementary data file;;;;;;;;;;;
;;;;;;;;;;;
modelled NGRIP data ;;;;;;;;;;;
'the model was run using the ss09sea06bm time scale (NGRIP members, 2004; Anderson et al., 2006), additionally ages have been transformed to GICC05modelext time scale (Svensson et al., 2008; Wolff et al., 2010)';;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;ss09sea06bm;;GICC05modelext;
depth ;age ss09sea06bm ;age GICC05modelext;accumulation tuned;temperature;;;depth ;ice age;gas age ;ice age;gas age
[m];[yr];[yr];[m ice/yr];[°C];;;[m];[yr];[yr];[yr];[yr]
1632.38;15700;15875;0.062;-45.4;;;1546.80;13278;12621;13421;12803
1632.91;15720;15898;0.063;-45.5;;;1547.13;13286;12631;13427;12815
1633.44;15740;15923;0.063;-45.6;;;1547.45;13294;12641;13434;12826
1633.96;15760;15945;0.063;-45.5;;;1547.77;13302;12651;13441;12836
1634.48;15780;15967;0.063;-45.5;;;1548.14;13311;12661;13450;12847
1635.02;15800;15991;0.062;-45.5;;;1548.46;13319;12671;13458;12859
1635.56;15820;16014;0.061;-45.8;;;1548.82;13328;12681;13466;12870
1636.07;15840;16034;0.059;-46.1;;;1549.19;13337;12691;13474;12880
1636.53;15860;16054;0.057;-46.6;;;1549.51;13345;12701;13481;12890
1636.99;15880;16074;0.055;-47.2;;;1549.87;13354;12711;13490;12900
1637.45;15900;16096;0.054;-47.7;;;1550.25;13363;12721;13498;12910
1637.89;15920;16115;0.053;-47.9;;;1550.63;13372;12731;13507;12921
1638.31;15940;16135;0.052;-47.7;;;1550.98;13380;12741;13514;12930
1638.75;15960;16155;0.053;-47.5;;;1551.36;13389;12751;13522;12940
1639.21;15980;16176;0.054;-47.3;;;1551.75;13398;12761;13531;12952
1639.70;16000;16197;0.056;-47.1;;;1552.09;13406;12771;13538;12963
1640.18;16020;16218;0.058;-46.8;;;1552.45;13415;12781;13546;12973
1640.69;16040;16241;0.059;-46.4;;;1552.78;13423;12791;13552;12983
1641.20;16060;16266;0.061;-46.1;;;1553.14;13432;12801;13560;12990
1641.73;16080;16290;0.061;-46.0;;;1553.45;13440;12811;13567;12998
1642.24;16100;16314;0.062;-46.0;;;1553.80;13449;12821;13576;13007
1642.77;16120;16339;0.062;-46.0;;;1554.10;13457;12831;13584;13016
1643.29;16140;16361;0.062;-45.9;;;1554.42;13466;12841;13592;13026
1643.81;16160;16382;0.063;-45.8;;;1554.71;13474;12851;13599;13035
1644.35;16180;16405;0.064;-45.6;;;1555.02;13483;12861;13607;13044
1644.88;16200;16428;0.065;-45.3;;;1555.30;13491;12871;13615;13052
1645.42;16220;16451;0.067;-44.9;;;1555.57;13499;12881;13622;13059
1646.01;16240;16476;0.069;-44.4;;;1555.85;13507;12891;13629;13068
1646.62;16260;16503;0.070;-43.8;;;1556.17;13516;12901;13638;13077
1647.24;16280;16530;0.070;-43.6;;;1556.47;13524;12911;13645;13087
1647.85;16300;16558;0.069;-43.9;;;1556.73;13531;12921;13652;13096
1648.43;16320;16586;0.067;-44.6;;;1557.04;13539;12931;13659;13106
1648.95;16340;16609;0.065;-45.3;;;1557.36;13547;12941;13667;13115
