GISP2-D Borehole Diameter

REFERENCES: 

Clow, G.D., R.W. Saltus, and E.D. Waddington. 1996. A new high-precision
borehole-temperature logging system used at GISP2, Greenland, and Taylor
Dome, Antarctica. Journal of Glaciology 42:576-584.

Gundestrup, N.S., H.B. Clausen, and B.L. Hansen. 1994. The UCPH borehole
logger. Mem. National Institute Polar Research, Special Issue 49:224-233.

DATA DESCRIPTION:

The diameter of the 3-km borehole (GISP-D) at the GISP2 site was measured
during 1993, 1994, and 1995 using University of Copenhagen's geophysical
logging system (UCPH); the UCPH logging system is described in Gundestrup
et al.(1994). 

The data in this file correspond to the minimum and maximum diameters
detected by the upper calipers on the UCPH logging tool during the most
recent borehole deformation experiment (1 July, 1995).  These data, and
those from previous years, are described in Clow and Gundestrup, (1997). 

==================================================================	
name	parameter	units	
------------------------------------------------------------------	
TVD	true vertical depth	m	
UC_max	maximum diameter	mm	
UC_min	minimum diameter	mm	
==================================================================		

DATA:

TVD	UC_max	UC_min
459.46	182.25	182.05
459.98	182.25	182.05
461.01	182.35	182.1
461.52	182.7	182.05
462.56	182.7	182.6
463.25	182.7	182.3
464.1	182.4	182.3
465.65	182.4	182.3
466.51	182.65	182.6
467.2	182.65	182.35
468.23	182.4	182.05
469.09	182.55	182.2
469.78	182.3	182.15
470.98	182.75	182.2
471.5	182.4	182.2
472.01	182.25	182.1
473.04	182.15	182.05
473.56	182.05	181.9
474.59	182.05	181.95
475.28	182.05	181.9
476.14	182	181.9
477	181.95	181.9
477.51	182	181.95
477.85	182.05	181.95
478.03	182.05	182.05
478.2	181.95	181.84
479.23	181.9	181.84
480.43	182.1	181.69
480.95	182	181.74
481.46	181.9	181.69
482.19	181.84	181.69
483.01	181.84	181.69
483.74	181.74	181.69
484.25	181.69	181.64
485.11	181.64	181.58
485.97	181.64	181.58
486.82	181.74	181.64
487.51	181.9	181.69
488.37	181.74	181.69
489.23	181.74	181.69
489.91	181.74	181.69
490.77	181.74	181.69
491.46	181.74	181.69
492.32	181.74	181.64
493	181.69	181.64
493.86	181.74	181.64
494.72	181.79	181.53
495.57	181.53	181.32
496.26	181.48	181.32
497.29	181.48	181.43
497.81	181.48	181.37
498.66	183	181.43
499.35	182.75	182.3
500.21	182.7	182.6
500.89	182.75	182.6
501.75	182.75	182.6
502.61	182.65	182.6
502.78	182.65	182.6
502.95	182.65	182.6
503.12	182.45	182.3
503.98	182.5	182.3
504.83	182.45	182.3
505.35	182.35	182.25
506.2	182.55	182.25
507.23	182.45	182.1
507.92	182.1	181.9
508.77	181.9	181.69
509.46	181.74	181.69
510.32	181.74	181.69
511	181.74	181.69
511.68	182.7	181.58
512.71	182.3	182.15
513.4	182.3	181.9
514.26	182.15	182
515.11	182.15	181.95
515.8	182	181.9
516.82	181.95	181.9
517.34	182	181.9
518.19	181.95	181.84
519.05	181.95	181.9
519.73	181.95	181.9
520.76	181.95	181.9
521.44	182	181.9
522.13	182.9	181.9
522.99	182.85	182.65
523.67	182.7	182.35
524.35	182.4	182.35
525.38	182.4	182.35
526.07	182.4	182.35
526.92	182.35	182.1
527.6	182.15	182.05
527.94	182.1	182.05
528.12	182.1	182.05
528.46	182.1	182.05
529.31	182.1	181.95
529.48	182	181.95
530.17	182.1	182
530.85	182.3	182.05
531.19	182.25	182.2
531.4	182.25	182.2
532.05	182.25	182.15
532.56	182.35	182.2
532.94	182.5	182.3
533.76	182.7	182.5
533.8	182.7	182.3
534.48	182.45	182.3
534.99	182.5	182.3
535.81	182.55	182.45
536.5	182.65	182.5
536.53	182.65	182.45
537.04	182.5	182.3
537.56	182.35	182.3
538.24	182.4	182.3
538.58	182.35	182.2
539.09	182.25	182.15
539.78	182.55	182.15
540.29	182.55	182.45
540.63	182.6	182.45
541.32	182.55	182.45
541.83	182.5	182.45
542.34	182.5	182.45
542.68	182.45	182.45
543.54	182.45	182.35
544.22	182.35	182.2
544.9	182.45	182.2
545.76	182.45	182.35
546.95	182.4	182.3
547.63	182.55	182.3
548.32	182.85	182.5
549.17	182.75	182.25
549.85	182.3	182.05
550.71	182.1	182.05
551.56	182.15	182.05
552.41	182.1	182
553.1	182.05	182.05
553.78	182.9	182.4
554.46	182.85	182.65
555.49	182.7	182.3
556.34	182.5	182.25
557.02	182.45	182.25
557.87	182.45	182.25
558.73	182.25	182.05
559.41	182.2	182.05
560.26	182.35	182.15
561.11	182.3	182.2
561.8	183.14	182.2
562.65	182.95	182.6
563.5	182.65	182.35
564.35	182.4	182.2
565.04	182.25	181.9
565.89	181.95	181.84
566.74	182	181.9
567.6	182.1	181.9
568.45	182.1	182
569.13	182.2	182.05
570.66	182.2	182.05
570.83	182.55	182.1
571.51	182.9	182.45
572.37	183.19	182.3
573.22	182.55	182.3
574.07	182.45	182.25
574.92	182.4	182.25
575.77	182.4	182.3
576.45	182.5	182.3
577.31	182.5	182.25
577.99	183.71	182.3
578.84	182.55	182.45
579.35	182.45	182.45
580.03	182.4	182.1
581.05	182.15	181.9
581.73	182.25	182
582.41	182.2	182.05
583.26	182.2	182.05
584.12	182.1	182.05
584.49	182.3	182.05
585.65	182.35	182.15
586.33	182.55	182.2
587.35	182.6	182.25
587.56	182.5	182.4
588.41	182.55	182.4
589.26	182.5	182.35
590.11	182.4	182.25
590.79	182.6	182.25
591.47	182.95	182.5
592.49	183.19	182.9
593.17	182.9	182.55
594.02	182.6	182.2
594.7	182.45	182.2
595.38	182.25	182
596.4	182.35	182.2
597.08	182.25	182.2
597.76	182.35	182.2
598.61	182.3	182.2
599.46	182.25	182.05
600.48	182.55	182.05
600.99	183	182.3
601.67	183.33	182.3
602.52	182.65	182.2
602.86	182.2	182.2
603.03	182.25	182.2
603.37	182.35	182.2
603.88	182.25	182.1
604.73	182.3	182.1
605.58	182.3	182.2
606.6	182.3	182.2
607.28	182.25	182.15
608.81	182.3	182.2
608.98	182.5	182.25
609.65	182.5	182.4
610.67	182.5	182.3
611.35	182.35	182.3
612.2	182.4	182.3
613.05	182.3	182.05
613.9	182.25	182.1
614.75	182.25	182.1
615.6	182.45	182.2
616.78	182.45	182.3
617.3	182.75	182.5
617.97	182.7	182.45
618.99	182.55	182.45
619.67	182.6	182.45
620.52	182.5	182.2
621.2	182.25	182.2
622.22	182.25	182.15
623.06	182.2	182.15
623.91	182.2	182.15
624.59	182.25	182.15
625.27	182.8	182.25
626.28	182.75	182.55
627.14	182.6	182.45
627.98	182.6	182.55
628.32	182.5	182.5
628.49	182.35	182.3
629.34	182.3	182.2
630.19	182.3	182.25
630.86	182.25	182.1
631.71	182.25	182.15
633.24	182.75	182.15
633.41	182.65	182.3
634.08	182.4	182.3
634.93	182.75	182.35
635.61	182.85	182.45
636.96	182.5	182.35
637.3	182.4	182.35
638.66	182.4	182.2
639	182.35	182.2
639.85	182.35	182.2
640.35	182.3	182.05
641.54	182.65	182.05
642.39	182.6	182.4
642.72	182.8	182.4
644.25	182.5	182.4
644.93	182.4	182.3
645.43	182.35	182.3
646.11	182.35	182.25
646.79	182.4	182.25
647.32	182.4	182.3
648.31	182.35	182
649.33	182.85	182.05
650.17	183	182.6
651.39	182.65	182.5
651.53	182.55	182.45
652.2	182.55	182.3
652.74	182.35	182.3
652.91	182.35	182.3
653.08	182.35	182.3
653.25	182.35	182.3
654.43	182.7	182.3
654.77	182.65	182.45
655.62	183.71	182.45
656.47	183.38	182.1
657.31	182.35	182.25
658.16	182.45	182.3
659	182.4	182.3
659.85	182.45	182.3
660.69	182.35	182.25
661.87	182.35	182.2
662.21	182.6	182.25
663.06	182.55	182.4
663.9	182.5	182.15
664.75	182.8	182.25
665.59	182.85	182.35
666.44	182.4	182.3
667.28	182.35	181.9
668.13	182	181.9
668.97	182.1	181.95
669.82	182.15	182.05
670.66	182.15	182.1
671.51	182.2	182.1
672.18	182.4	182.1
673.03	183.14	182.35
673.87	183.09	182.95
674.72	182.95	182.6
675.56	182.6	182.4
676.1	182.65	182.4
677.25	182.5	182.4
678.09	182.5	182.4
678.77	182.45	182.35
679.78	182.4	182.2
680.63	182.25	182.2
680.66	182.25	182.2
680.79	182.25	182.2
680.83	182.25	182.2
681.98	182.7	182.2
682.51	182.75	182.6
683.36	182.95	182.25
684.2	182.35	182.25
685.04	182.3	182.25
685.89	182.85	182.25
686.9	182.85	182.25
687.57	182.3	182.2
688.42	182.3	182.2
689.09	182.3	182.2
689.94	182.3	182.2
690.61	183.04	182.2
691.45	182.95	182.45
692.3	182.65	182.4
693.14	182.65	182.5
694.15	182.65	182.45
694.99	182.55	182.4
695.84	182.55	182.4
696.68	182.45	182.25
697.35	182.3	182.25
698.2	182.3	182.25
698.87	182.4	182.3
699.55	182.35	182.15
700.56	182.8	182.2
702.24	182.7	182.55
702.41	182.6	182.4
702.75	182.5	182.4
703.09	182.5	182.45
703.25	182.6	182.45
703.93	182.95	182.8
704.6	182.8	182.25
705.44	182.3	182.2
706.29	182.3	182.25
707.13	182.35	182.25
707.97	182.35	182.2
708.64	182.3	182.2
710.16	183.38	182.25
711	182.85	182.7
711.68	182.75	182.45
712.52	182.6	182.45
713.36	182.6	182.45
714.2	182.5	182.35
714.87	182.4	182.3
715.71	182.4	182.25
716.55	182.3	182.25
717.4	182.35	182.25
718.57	182.9	182.25
718.91	182.7	182.6
720.26	182.7	182.6
720.59	182.65	182.6
722.11	182.6	182.3
722.95	182.7	182.4
723.62	182.4	182.3
724.29	182.7	182.3
725.3	182.6	182.2
725.97	182.3	182.2
726.81	182.3	182.2
728.16	182.85	182.25
728.33	182.8	182.7
728.5	182.75	182.7
728.66	182.8	182.65
730.18	182.65	182.35
731.18	182.35	182.25
731.86	182.45	182.25
732.7	182.4	182.3
733.54	182.35	182.25
734.55	182.5	182.2
735.05	182.4	182
736.06	182.15	182
736.73	182.1	182
738.08	182.7	182
738.41	182.4	182.3
739.25	182.9	182.1
740.09	182.7	181.69
740.93	182.05	181.95
741.77	182.1	181.95
742.44	182.1	182
743.28	182.05	182
744.12	182.05	181.95
744.96	182.05	181.95
745.63	182.1	181.95
746.64	182.65	182
747.31	182.65	182.5
748.49	182.65	182.35
748.99	182.45	182.3
749.83	182.35	182.3
750.67	182.35	182.25
751.5	182.35	182.25
752.68	182.35	182.25
753.18	182.3	182.1
753.85	182.15	182.1
754.52	182.25	182.1
755.2	182.1	182
756.03	182.6	182.05
756.71	182.6	182.35
757.54	182.55	181.95
758.38	182	181.9
759.22	181.9	181.84
759.89	181.9	181.84
760.73	181.9	181.84
761.73	181.9	181.84
762.4	181.9	181.84
763.24	181.84	181.79
764.08	181.84	181.79
