Depth	ECM	Age
Top (m)	(microeq./kg)	Top (yr BP)

455.4	2.53	2020
455.95	1.5	2023
456.5	1.4	2026
457.05	1.24	2030
457.6	1.59	2033
458.15	1.24	2035
458.7	1.22	2038
459.25	1.15	2041
459.8	1.4	2044
460.35	1.56	2047
460.9	1.61	2051
461.45	2.09	2053
462	1.8	2056
462.55	1.7	2059
463.1	1.11	2062
463.65	1.03	2065
464.2	1.21	2068
464.75	1.1	2071
465.3	1.33	2073
465.85	1.33	2076
466.4	1.17	2079
466.95	1.16	2082
467.5	1.08	2085
468.05	1.37	2088
468.6	1.45	2090
469.15	2.1	2094
469.7	1.16	2097
470.25	1.44	2100
470.8	1.78	2103
471.35	1.3	2106
471.9	1.24	2108
472.45	1.54	2111
473	1.31	2114
473.55	1.88	2117
474.1	2.38	2120
474.65	1.7	2123
475.2	1.54	2126
475.75	1.82	2129
476.3	1.09	2132
476.85	0.8	2135
477.4	1.05	2137
477.95	0.97	2140
478.5	1.52	2143
479.05	1.37	2146
479.6	0.94	2149
480.15	0.65	2152
480.7	0.63	2155
481.25	0.79	2158
481.8	0.43	2161
482.35	0.89	2164
482.9	0.72	2167
483.45	0.84	2170
484	1.13	2173
484.55	1.2	2176
485.1	1.02	2179
485.65	1.16	2182
486.2	1.19	2185
486.75	0.88	2188
487.3	1.01	2191
487.85	1.05	2194
488.4	0.9	2197
488.95	1.11	2200
489.5	0.9	2203
490.05	0.89	2205
490.6	0.69	2208
491.15	0.77	2212
491.7	0.93	2215
492.25	1.07	2217
492.8	3.44	2220
493.35	1.14	2223
493.9	0.79	2226
494.45	1.23	2228
495	0.93	2232
495.55	0.65	2234
496.1	0.78	2237
496.65	0.75	2240
497.2	0.7	2243
497.75	0.78	2246
498.3	0.76	2249
498.85	1.09	2251
499.4	1.17	2254
499.95	1.02	2257
500.5	0.87	2260
501.05	1.1	2263
501.6	0.94	2266
502.15	1.26	2269
502.7	1.32	2272
503.25	1.22	2275
503.8	0.72	2278
504.35	0.8	2281
504.9	0.94	2284
505.45	0.76	2287
506	0.88	2290
506.55	0.73	2293
507.1	0.91	2296
507.65	0.63	2299
508.2	0.54	2302
508.75	0.79	2305
509.3	0.75	2308
509.85	1.01	2311
510.4	0.73	2314
510.95	0.89	2317
511.5	0.97	2320
512.05	1.04	2323
512.6	0.93	2326
513.15	1.56	2329
513.7	0.76	2332
514.25	0.81	2334
514.8	0.86	2338
515.35	0.84	2341
515.9	0.86	2344
516.45	0.66	2347
517	0.78	2349
517.55	0.84	2352
518.1	1.14	2355
